STATION,STATION_NAME,DATE,HPCP
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500102 10:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500102 14:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 01:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 04:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 05:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 06:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 07:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 08:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 10:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 11:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 12:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 13:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 14:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 15:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 16:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 17:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 18:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500103 19:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500104 10:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500104 11:00,0.06
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500104 12:00,0.05
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500104 13:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500104 14:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500104 15:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500104 16:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500104 17:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500104 18:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500104 22:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500105 11:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500105 16:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500106 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500106 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500106 22:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500106 23:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500107 00:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500107 05:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500107 12:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500108 07:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500108 10:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500108 11:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500108 12:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500113 02:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500113 06:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500113 07:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500113 08:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500113 09:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500113 10:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500113 11:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500113 12:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500117 04:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500117 06:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500117 08:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500117 10:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500117 12:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500122 11:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500122 12:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500122 13:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500122 14:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500122 16:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500122 17:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500122 18:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500122 19:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500122 22:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 07:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 08:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 10:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 11:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 12:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 13:00,0.08
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 14:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 15:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 16:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 17:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 18:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 22:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500123 23:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500124 00:00,0.05
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500124 02:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500124 04:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500124 06:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500124 11:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500124 13:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500124 19:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500130 04:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500130 05:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500130 16:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500201 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500201 13:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500201 14:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500201 16:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500201 17:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500201 18:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500201 19:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500201 20:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500201 22:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500202 11:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500202 14:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500202 18:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500301 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500303 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500303 18:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500303 19:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500303 20:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500303 21:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500303 22:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500303 23:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 00:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 01:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 02:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 03:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 04:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 05:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 06:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 07:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 08:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 10:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 14:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 15:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 18:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 19:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 20:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 22:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500304 23:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500305 01:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500305 08:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500323 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500323 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500324 00:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500324 01:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500324 04:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500324 06:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500327 07:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500327 23:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500328 02:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500328 04:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500328 07:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500328 09:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500328 19:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500401 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500402 00:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500406 02:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500406 04:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500406 05:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500501 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500502 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500502 18:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500502 19:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500505 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500505 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500505 18:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500509 11:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500509 12:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500513 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500513 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500513 21:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500513 22:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500513 23:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500514 00:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500520 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500520 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500520 16:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500520 17:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500520 18:00,0.08
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500520 19:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500520 23:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500521 00:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500521 01:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500521 02:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500521 04:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500521 11:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500521 12:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500521 13:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500521 19:00,0.05
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500531 05:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500531 07:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500531 13:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500531 17:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500601 01:00,0.00
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500701 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500701 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500703 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500703 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500703 14:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500703 15:00,0.07
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500703 20:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500705 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500705 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500705 17:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500707 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500707 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500707 20:00,0.06
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500707 21:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500708 00:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500708 01:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500712 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500712 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500712 15:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500712 16:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500712 17:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500713 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500713 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500713 17:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500714 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500714 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500714 19:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500715 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500715 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500715 18:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500715 19:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500716 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500716 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500716 14:00,0.92
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500716 15:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500717 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500717 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500717 15:00,0.39
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500717 16:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500720 07:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500723 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500723 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500723 15:00,0.15
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500723 16:00,0.17
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500723 17:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500723 18:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500723 20:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500723 21:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500723 22:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500723 23:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500724 00:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500724 02:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500724 03:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500724 04:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500724 05:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500724 17:00,0.06
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500729 11:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500729 13:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500730 08:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500730 09:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500730 16:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500730 17:00,0.05
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500730 20:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500731 01:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500731 02:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500731 03:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500731 18:00,0.06
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500801 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500801 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500803 12:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500803 18:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500803 19:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500803 20:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500803 21:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500803 22:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500803 23:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500804 00:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500804 01:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500804 02:00,0.05
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500804 03:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500804 04:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500806 01:00,0.05
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500806 02:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500806 03:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500806 04:00,0.05
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500806 05:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500806 06:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500806 07:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500806 08:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500806 09:00,0.07
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500806 10:00,0.05
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500806 11:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500812 03:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500812 04:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500812 18:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500824 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500824 13:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500824 18:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500824 20:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500825 12:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500828 01:00,999.99
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500828 13:00,999.99
