# Monthly total ERA5 precipitation for PANC, lon/lat = 210.0/61.25
# Chris Waigl, cwaigl@alaska.edu, 2025-10-29 02:01:46.310847
Time,tp,year,month
2006-06-30,0.063,2006,6
2006-07-31,0.050,2006,7
2006-08-31,0.199,2006,8
2006-09-30,0.106,2006,9
2006-10-31,0.106,2006,10
2006-11-30,0.006,2006,11
2006-12-31,0.117,2006,12
2007-01-31,0.067,2007,1
2007-02-28,0.006,2007,2
2007-03-31,0.013,2007,3
2007-04-30,0.026,2007,4
2007-05-31,0.030,2007,5
2007-06-30,0.037,2007,6
2007-07-31,0.052,2007,7
2007-08-31,0.090,2007,8
2007-09-30,0.119,2007,9
2007-10-31,0.083,2007,10
2007-11-30,0.148,2007,11
2007-12-31,0.057,2007,12
2008-01-31,0.051,2008,1
2008-02-29,0.068,2008,2
2008-03-31,0.062,2008,3
2008-04-30,0.081,2008,4
2008-05-31,0.027,2008,5
2008-06-30,0.035,2008,6
2008-07-31,0.128,2008,7
2008-08-31,0.056,2008,8
2008-09-30,0.138,2008,9
2008-10-31,0.102,2008,10
2008-11-30,0.063,2008,11
2008-12-31,0.044,2008,12
2009-01-31,0.093,2009,1
2009-02-28,0.035,2009,2
2009-03-31,0.053,2009,3
2009-04-30,0.021,2009,4
2009-05-31,0.030,2009,5
2009-06-30,0.044,2009,6
2009-07-31,0.055,2009,7
2009-08-31,0.103,2009,8
2009-09-30,0.081,2009,9
2009-10-31,0.063,2009,10
2009-11-30,0.065,2009,11
2009-12-31,0.088,2009,12
2010-01-31,0.023,2010,1
2010-02-28,0.062,2010,2
2010-03-31,0.072,2010,3
2010-04-30,0.054,2010,4
2010-05-31,0.021,2010,5
2010-06-30,0.051,2010,6
2010-07-31,0.109,2010,7
2010-08-31,0.125,2010,8
2010-09-30,0.033,2010,9
2010-10-31,0.089,2010,10
2010-11-30,0.104,2010,11
2010-12-31,0.044,2010,12
2011-01-31,0.041,2011,1
2011-02-28,0.042,2011,2
2011-03-31,0.026,2011,3
2011-04-30,0.032,2011,4
2011-05-31,0.023,2011,5
2011-06-30,0.056,2011,6
2011-07-31,0.098,2011,7
2011-08-31,0.161,2011,8
2011-09-30,0.116,2011,9
2011-10-31,0.147,2011,10
2011-11-30,0.060,2011,11
2011-12-31,0.133,2011,12
2012-01-31,0.047,2012,1
2012-02-29,0.104,2012,2
2012-03-31,0.025,2012,3
2012-04-30,0.020,2012,4
2012-05-31,0.037,2012,5
2012-06-30,0.070,2012,6
2012-07-31,0.072,2012,7
2012-08-31,0.101,2012,8
2012-09-30,0.282,2012,9
2012-10-31,0.055,2012,10
2012-11-30,0.015,2012,11
2012-12-31,0.070,2012,12
2013-01-31,0.085,2013,1
2013-02-28,0.063,2013,2
2013-03-31,0.048,2013,3
2013-04-30,0.021,2013,4
2013-05-31,0.057,2013,5
2013-06-30,0.019,2013,6
2013-07-31,0.040,2013,7
2013-08-31,0.180,2013,8
2013-09-30,0.158,2013,9
2013-10-31,0.183,2013,10
2013-11-30,0.063,2013,11
2013-12-31,0.042,2013,12
2014-01-31,0.107,2014,1
2014-02-28,0.027,2014,2
2014-03-31,0.046,2014,3
2014-04-30,0.013,2014,4
2014-05-31,0.029,2014,5
2014-06-30,0.098,2014,6
2014-07-31,0.090,2014,7
2014-08-31,0.094,2014,8
2014-09-30,0.136,2014,9
2014-10-31,0.050,2014,10
2014-11-30,0.043,2014,11
2014-12-31,0.069,2014,12
2015-01-31,0.042,2015,1
2015-02-28,0.042,2015,2
2015-03-31,0.028,2015,3
2015-04-30,0.072,2015,4
2015-05-31,0.036,2015,5
2015-06-30,0.057,2015,6
2015-07-31,0.120,2015,7
2015-08-31,0.067,2015,8
2015-09-30,0.193,2015,9
2015-10-31,0.091,2015,10
2015-11-30,0.117,2015,11
2015-12-31,0.069,2015,12
2016-01-31,0.074,2016,1
2016-02-29,0.079,2016,2
2016-03-31,0.049,2016,3
2016-04-30,0.013,2016,4
2016-05-31,0.033,2016,5
2016-06-30,0.063,2016,6
2016-07-31,0.101,2016,7
2016-08-31,0.161,2016,8
2016-09-30,0.135,2016,9
2016-10-31,0.023,2016,10
2016-11-30,0.035,2016,11
2016-12-31,0.040,2016,12
2017-01-31,0.069,2017,1
2017-02-28,0.058,2017,2
2017-03-31,0.029,2017,3
2017-04-30,0.015,2017,4
2017-05-31,0.051,2017,5
2017-06-30,0.049,2017,6
2017-07-31,0.098,2017,7
2017-08-31,0.155,2017,8
2017-09-30,0.120,2017,9
2017-10-31,0.125,2017,10
2017-11-30,0.022,2017,11
2017-12-31,0.098,2017,12
2018-01-31,0.066,2018,1
2018-02-28,0.047,2018,2
2018-03-31,0.044,2018,3
2018-04-30,0.031,2018,4
2018-05-31,0.063,2018,5
2018-06-30,0.065,2018,6
2018-07-31,0.060,2018,7
2018-08-31,0.165,2018,8
2018-09-30,0.040,2018,9
2018-10-31,0.178,2018,10
2018-11-30,0.086,2018,11
2018-12-31,0.127,2018,12
2019-01-31,0.052,2019,1
2019-02-28,0.033,2019,2
2019-03-31,0.063,2019,3
2019-04-30,0.063,2019,4
2019-05-31,0.057,2019,5
2019-06-30,0.024,2019,6
2019-07-31,0.052,2019,7
2019-08-31,0.012,2019,8
2019-09-30,0.175,2019,9
2019-10-31,0.144,2019,10
2019-11-30,0.124,2019,11
2019-12-31,0.095,2019,12
2020-01-31,0.040,2020,1
2020-02-29,0.089,2020,2
2020-03-31,0.046,2020,3
2020-04-30,0.041,2020,4
2020-05-31,0.043,2020,5
2020-06-30,0.056,2020,6
2020-07-31,0.064,2020,7
2020-08-31,0.116,2020,8
2020-09-30,0.108,2020,9
2020-10-31,0.072,2020,10
2020-11-30,0.101,2020,11
2020-12-31,0.114,2020,12
