,name,acisID,icao,longitude,latitude,elev_ft,valid_avgT_start,valid_avgT_end,valid_snowdepth_start,valid_snowdepth_end
87,CAMPBELL CREEK SCIENCE CENTER,31086,,-149.77769,61.1638,258.0,2000-05-01,2025-03-31,2000-05-01,2025-03-31
88,CANNERY CREEK,20685,,-147.51469,61.0183,85.0,1979-05-01,2025-03-31,1979-05-01,2025-03-31
89,CANTWELL 2 E,21138,,-148.895,63.3952,2132.0,1983-11-01,2011-08-26,1983-11-01,2011-08-26
90,CANTWELL 4E,32628,,-148.8441,63.3724,2262.0,2005-11-01,2013-11-12,2005-11-01,2012-01-09
91,CANYON ISLAND,20566,,-133.67889,58.55,20.0,1935-10-01,2017-12-19,1935-10-01,2017-12-19
92,CAPE KIAVAK ALASKA,65668,,-153.5417,56.9992,100.0,2001-07-23,2015-09-03,,
93,CARIBOU PEAK ALASKA,65671,,-147.50031,65.1892,1575.0,1990-06-04,2025-04-17,,
94,CASWELL 5 N,28827,,-150.05943,61.97361,250.0,1996-08-01,1998-04-30,1996-08-01,1998-04-30
95,CENTRAL NO 2,29820,PACE,-144.7653,65.5667,920.0,1905-05-14,2011-06-02,1905-10-01,2011-06-02
96,CHALKYITSIK ALASKA,65676,,-144.34109,66.5906,450.0,1997-06-20,2022-12-06,,
97,CHANDALAR LAKE,29819,PALR,-148.49249,67.5111,1895.0,1963-06-17,2011-06-15,1963-06-17,2011-10-28
98,CHANDALAR SHELF DOT,31087,,-149.5647,68.0781,3250.0,2000-05-01,2019-07-14,2000-05-01,2013-11-01
99,CHATANIKA ALASKA,65672,,-148.5833,65.0167,1450.0,1990-05-18,2025-04-17,,
100,CHELATNA LAKE,21202,,-151.40916,62.43389,1400.0,2003-04-02,2016-05-29,2003-04-21,2013-05-19
101,CHENA HOT SPRINGS RESORT,20968,,-146.05611,65.0528,1185.0,1962-08-20,2011-11-30,1962-08-01,2011-08-05
102,CHENA RIDGE,29432,,-147.85249,64.83,1117.0,1999-04-01,2013-03-25,1999-04-01,2013-03-25
103,CHEVAK AIRPORT,106222,PAVA,-165.58333,61.53333,75.0,2018-02-04,2025-04-17,,
104,CHICKEN,20909,,-141.9211,64.0917,1800.0,1953-04-22,2025-04-18,1911-11-03,2025-04-18
105,CHICKEN ALASKA,65680,,-141.9294,64.06,2860.0,1998-09-10,2024-11-16,,
106,CHICKEN CREEK ALASKA,82772,,-141.84531,62.1242,5240.0,2004-08-21,2025-04-17,,
107,CHIEF COVE ALASKA,65674,,-153.9325,57.7294,150.0,2001-07-24,2015-09-28,,
108,CHIGMIT MTNS ALASKA,82713,,-153.4664,60.2233,4500.0,2009-06-30,2025-04-17,,
109,CHIGNIK AP,33047,PAJC,-158.37306,56.31139,18.0,2025-02-12,2025-04-07,,
110,CHIMNEY LAKE ALASKA,82785,,-150.4933,67.7558,3100.0,2013-04-06,2025-04-17,,
111,CHINIAK,21210,,-152.36444,57.61528,157.0,1991-08-02,2000-12-31,1991-08-01,2000-12-31
112,CHISANA,77592,,-142.05,62.07,3320.0,2008-07-16,2025-04-16,,
113,CHISANA ALASKA,65675,,-142.0833,62.1333,3318.0,1992-06-20,2023-12-31,,
114,CHISTOCHINA 4 NNE,31447,,-144.61555,62.6125,1945.0,2002-10-01,2004-05-09,2002-10-01,2004-05-09
115,CHISTOCHINA ALASKA,65678,,-144.6647,62.5653,2300.0,2001-06-05,2025-04-17,,
116,CHITINA,20741,,-144.4407,61.5223,643.0,1917-03-01,2012-11-14,1917-03-01,2012-11-14
117,CHITNA ALASKA,65679,,-144.4397,61.5319,581.0,1998-10-26,2025-04-17,,
118,CHULITNA RIVER,20857,,-149.9061,62.8255,1354.0,1971-01-29,2022-04-29,1971-01-29,2022-04-29
119,CIRCLE CITY,21004,PACR,-144.06667,65.83333,598.0,1900-07-01,1999-10-15,1900-08-01,1999-10-15
120,CIRCLE HOT SPRINGS,20990,,-144.6422,65.4939,860.0,1935-07-01,2025-04-18,1935-08-01,2025-04-18
121,CLARKS POINT,106224,PFCL,-158.53333,58.83333,79.0,2019-08-07,2025-02-20,,
122,CLEAR 4 N,20920,,-149.04361,64.35472,495.0,1965-12-08,1991-08-31,1965-12-08,1997-12-30
123,CLEAR SKY,35068,,-149.1828,64.2452,646.0,2009-10-10,2021-07-02,2009-10-10,2021-07-02
124,CLEARWATER,20910,,-145.51666,64.05,1100.0,1964-10-01,1994-08-31,1964-10-01,1994-08-31
125,COAL CREEK ALASKA,82742,,-143.1322,65.3139,870.0,2004-11-05,2025-04-17,,
126,COFFMAN COVE,20489,,-132.83333,56.0,10.0,1970-10-02,2018-03-31,1970-10-02,2018-03-31
127,COLD BAY AIRPORT,20468,PACD,-162.7323,55.22068,72.0,1950-03-02,2025-04-17,1950-03-02,2020-04-30
128,COLDFOOT,77637,,-150.17999,67.25,1040.0,1995-07-25,2025-04-16,,
129,COLDFOOT,21220,,-150.1875,67.2539,1050.0,1993-09-01,1995-03-31,1993-09-01,2000-04-30
130,COLDFOOT AIRPORT,106213,PACX,-150.2038,67.252,1042.0,2023-09-24,2025-04-17,,
131,COLLEGE 3NNW,31882,,-147.84528,64.89222,843.0,2004-09-01,2009-02-28,2004-09-01,2009-02-28
132,COLLEGE 4 WSW,33728,,-147.95889,64.8264,897.0,2009-03-01,2010-03-08,2007-10-01,2010-03-08
133,COLLEGE 5 NW,20960,,-147.88028,64.925,978.0,1976-08-01,2013-12-06,1976-08-01,2013-12-06
134,COLLEGE OBSERVATORY,20958,,-147.8484,64.8603,597.0,1948-05-16,2025-04-17,1948-06-01,2025-04-17
135,COLVILLE VILLAGE,28874,,-150.40939,70.4322,5.0,1996-12-01,2019-11-04,1996-12-01,2019-11-04
136,COOPER LAKE,77616,,-149.69,60.39,1200.0,1997-07-18,2025-04-16,,
137,COOPER LAKE PROJECT,20641,,-149.66611,60.3925,505.0,1958-12-02,2004-03-31,1959-07-01,2004-03-31
138,COOPER LANDING 5 W,20648,,-149.96809,60.4875,375.0,1975-02-01,2014-02-28,1975-02-01,2013-10-27
139,COOPER LANDING KENAI R,20657,,-149.80888,60.49222,419.0,1941-09-01,2017-12-20,1941-10-01,1956-02-29
140,CORDOVA 14 ESE,83732,,-145.3542,60.4731,83.0,2017-07-29,2025-04-18,,
141,CORDOVA AIRPORT,20654,PACV,-145.4445,60.48604,48.0,1909-05-07,2025-04-17,1909-09-25,2025-02-09
142,CORDOVA NORTH,20655,,-145.75301,60.5561,25.0,1955-06-12,2019-06-27,1955-06-12,2019-06-30
143,CORDOVA WWTP,31404,,-145.778,60.5358,10.0,2004-05-01,2023-11-26,2004-05-01,2012-09-30
144,COTTONWOOD ALASKA,65682,,-155.9361,65.3458,1310.0,1991-06-17,2025-04-17,,
145,COVILLE ALASKA,82717,,-155.56281,58.8025,1500.0,2008-06-03,2025-04-17,,
146,CRAIG,20479,,-133.14079,55.4772,43.0,1936-10-04,2025-04-18,1936-12-05,2025-04-18
147,CRAIG,93841,,-133.12492,55.47135,100.0,2019-10-23,2020-09-30,,
148,DEADHORSE,21096,PASC,-148.48006,70.19146,58.0,1999-06-01,2025-04-17,,
149,DEADHORSE 3 S,79885,,-148.4644,70.1618,30.0,2014-06-29,2025-04-08,,
150,DEERING AIRPORT,30948,PADE,-162.76141,66.06957,18.0,1998-07-23,2025-04-17,,
151,DELTA 5 NE,21223,,-145.6136,64.0839,1060.0,1994-08-01,2015-07-31,1994-08-01,2015-07-31
152,DELTA 6 N,28830,,-145.7511,64.1172,1059.0,1996-08-01,2024-08-01,1996-08-01,2024-07-31
153,DELTA FORESTRY EXP STN,28875,,-145.34193,63.93333,1220.0,1996-12-01,1997-03-31,1996-12-01,1997-03-31
154,DELTA JUNCTION 20 SE,21148,,-145.105,63.9647,1125.0,1980-11-01,2025-02-28,1980-11-01,2025-02-28
155,DENALI 27 N,79398,,-150.87469,63.452,2225.0,2015-08-20,2025-04-18,,
156,DENALI VISITOR CENTER ALASKA,83041,,-148.9055,63.7322,1800.0,2004-07-14,2025-04-17,,
157,DEVIL MOUNTAIN ALASKA,82929,,-164.53081,66.2758,285.0,2005-12-31,2023-02-09,,
158,DILLINGHAM AP,29839,PADL,-158.51669,59.05,86.0,1919-02-01,2025-04-17,1919-09-01,2005-05-31
159,DONNELLY ALASKA,83090,,-145.64999,63.9833,3000.0,2004-12-05,2024-12-14,,
160,DRY CREEK,28831,,-144.6041,63.67459,1355.0,1996-08-01,2025-04-18,1996-08-01,2025-04-18
161,DUNKLE HILLS ALASKA,83053,,-149.5392,63.2675,2850.0,2004-08-16,2025-04-17,,
162,DUTCH HARBOR,29844,PADU,-166.5433,53.895,10.0,1915-05-01,2025-04-18,1916-11-07,2025-04-18
163,EAGLE,20943,,-141.2036,64.7856,850.0,1901-11-01,2025-04-18,1901-11-01,2025-04-18
164,EAGLE AIRPORT,30896,PAEG,-141.16351,64.77611,910.0,1998-02-15,2025-04-17,,
165,EAGLE ALASKA,65687,,-141.1619,64.7761,880.0,1992-06-22,2025-04-17,,
166,EAGLE RIVER 1S,20729,,-149.55888,61.30778,250.0,2002-05-06,2007-03-31,,
167,EAGLE RIVER 5 SE,21200,,-149.4399,61.2968,498.0,1989-10-01,2025-03-31,1989-10-01,2025-03-31
168,EAGLE RIVER ALASKA,83017,,-149.3661,61.2725,420.0,2008-10-02,2023-12-01,,
169,EAGLE RIVER GAKONA CIRCLE,31482,,-149.5435,61.3193,567.0,2003-01-01,2025-03-31,2003-01-01,2025-03-31
170,EAGLE RIVER NATURE CENTER,20710,,-149.2709,61.23446,520.0,1981-07-01,2025-04-16,1981-07-01,2025-04-13
171,EAGLE SUMMIT,77601,,-145.41,65.49,3650.0,2000-11-08,2025-04-16,,
172,EAGLECREST BASE,83196,,-134.51401,58.2761,1134.0,2004-01-29,2025-04-18,2004-01-16,2025-04-18
173,EGEGIK AP,33048,PAII,-157.38556,58.18528,92.0,2019-08-20,2025-04-17,,
174,EIELSON FIELD,21154,,-147.10001,64.66667,547.0,1946-10-01,2011-06-30,1948-09-01,2011-06-30
175,EIELSON VISITOR CENTER,20886,,-150.31168,63.42583,3761.0,1971-01-29,2017-12-20,1971-01-29,2008-09-14
176,EIELSON VISITOR CENTER ALASKA,83137,,-150.3094,63.4314,3730.0,2004-12-05,2025-04-17,,
177,EKLUTNA PROJECT,20737,,-149.16667,61.46667,38.0,1952-01-01,1998-01-29,1952-01-01,1998-01-31
178,EKLUTNA WTP,31183,,-149.323,61.4495,640.0,2001-03-01,2024-10-31,2001-03-01,2024-10-31
179,ELFIN COVE,20554,PAEL,-136.34351,58.1916,20.0,1975-01-01,2025-04-18,1975-01-01,2025-04-18
180,ELIM AIRPORT,106225,PFEL,-162.26666,64.61667,161.0,2018-02-04,2025-04-17,,
181,EMMONAK,20855,PAEM,-164.4911,62.78528,14.0,1977-09-02,2025-04-17,1977-09-01,1994-01-21
182,ESTER,29437,,-148.0256,64.8464,655.0,2003-05-01,2021-10-31,2003-05-01,2021-10-31
183,ESTER 2SSW,31945,,-148.04639,64.76944,791.0,2004-08-30,2005-05-19,2004-08-30,2005-05-31
184,ESTER 4 S,31088,,-148.03667,64.79194,1155.0,2000-05-01,2002-04-30,2000-05-01,2002-04-30
185,ESTER 5NE,29084,,-147.92419,64.911,630.0,1997-12-01,2025-04-17,1997-12-01,2025-04-17
186,ESTER 6 NE,29438,,-147.91389,64.91333,640.0,2000-05-01,2002-04-30,1999-04-01,2002-04-30
187,ESTER DOME,29436,,-148.0392,64.8769,2177.0,2003-04-02,2010-08-10,1999-08-01,2010-10-03
188,ESTHER ISLAND,77610,,-148.09,60.8,50.0,2005-06-01,2025-04-16,,
189,EXIT GLACIER,77619,,-149.62,60.19,400.0,2011-07-08,2025-04-16,,
190,FAIRBANKS 11 NE,31728,,-147.50999,64.9735,1140.0,2002-08-10,2025-04-18,,
191,FAIRBANKS 19 N,31089,,-147.68556,65.11778,980.0,2000-05-01,2001-03-31,2000-05-01,2001-03-31
192,FAIRBANKS 39 ENE,20959,,-146.40889,64.89944,740.0,2002-05-05,2017-12-20,,
193,FAIRBANKS 9 ENE,20950,,-147.24944,64.88667,530.0,1942-07-01,2017-12-20,1942-08-01,1943-09-30
194,FAIRBANKS AIRPORT #2,31019,,-147.8739,64.8172,427.0,1999-12-01,2019-12-31,1999-12-01,2020-05-31
195,FAIRBANKS ALASKA,65689,,-147.61501,64.8367,454.0,1989-03-28,2023-11-14,,
196,FAIRBANKS F.O.,77609,,-147.8,64.85,450.0,1983-11-21,2020-07-20,,
197,FAIRBANKS INTL AP,20947,PAFA,-147.87605,64.80309,430.0,1929-12-01,2025-04-17,1929-12-01,2025-04-17
198,FAIRBANKS MIDTOWN,28876,,-147.79111,64.83417,440.0,1997-07-01,2013-07-31,1996-12-01,2013-07-31
199,FALSE PASS,106216,PAKF,-163.41666,54.85,20.0,2021-01-28,2025-04-17,,
200,FAREWELL ALASKA,65691,,-154.07671,63.7233,775.0,1996-08-27,2025-04-17,,
201,FAREWELL LAKE,21162,,-153.62056,62.54222,1060.0,1985-04-01,2009-02-28,1985-04-01,2009-02-28
202,FIELDING LAKE,77596,,-145.63,63.2,3000.0,2014-08-08,2025-04-16,,
203,FLAT ALASKA,65693,,-156.61391,62.8228,1480.0,1996-08-28,2021-01-03,,
204,FORT KNOX MINE,29085,,-147.34081,65.0033,1621.0,2000-05-01,2025-04-17,1997-12-01,2010-12-31
205,FORT RICHARDSON WATER TREATMENT PLANT,21204,,-149.65041,61.2272,470.0,1990-05-01,2025-04-18,1990-05-01,2025-04-18
206,FORT YUKON,29455,PFYU,-145.26666,66.56667,445.0,1899-01-01,2025-04-17,1899-01-01,1990-03-31
207,FORT YUKON,77602,,-145.25,66.57,430.0,2002-09-25,2025-04-16,,
208,FORT YUKON #2,40897,,-145.26556,66.56639,438.0,2010-08-12,2014-10-15,2010-08-12,2014-10-15
209,FORTY MILE RIVER AT TAYLOR HIGHWAY,40927,,-141.40889,64.30861,1252.0,2002-11-07,2017-12-20,2002-11-08,2007-11-10
210,FOURPEAKED ALASKA,82908,,-153.5181,58.7058,1074.0,2009-06-09,2025-04-17,,
211,FOX 2 SE,28888,,-147.6261,64.9591,775.0,1999-04-01,2022-08-31,1996-12-01,2022-08-31
212,FT. YUKON ALASKA,82975,,-145.25079,66.57,465.0,2005-12-31,2024-09-14,,
213,FUNNY RIVER,31572,,-150.80556,60.48222,275.0,2003-05-24,2010-10-31,2003-08-01,2010-10-31
214,FUNTER BAY,21147,PANR,-134.89999,58.25,30.0,1980-02-04,1996-06-30,1980-02-04,1996-06-30
215,GAKONA 10NE,33755,,-145.13251,62.39139,1850.0,2007-10-01,2009-10-05,2007-10-01,2009-10-31
216,GALENA,28889,,-156.8755,64.7408,152.0,1996-09-18,2025-04-01,1996-09-25,2025-04-01
217,GALENA 44 SW,109927,,-158.08479,64.3433,131.0,2024-12-06,2025-04-18,,
218,GALENA AIRPORT,29823,PAGA,-156.93443,64.73667,153.0,1942-10-01,2025-04-17,1942-10-01,1993-09-30
219,GATES GLACIER ALASKA,83138,,-143.01311,61.6028,4060.0,2004-12-05,2025-04-17,,
220,GEORGE CREEK ALASKA,65697,,-144.3503,63.8375,1525.0,1999-08-05,2025-04-17,,
221,GILMORE CREEK,20963,,-147.5211,64.9766,945.0,1962-10-01,2025-04-18,1966-02-01,2025-04-17
222,GIRDWOOD WWTP,20682,KAQY,-149.15919,60.94889,43.0,2019-08-08,2025-03-06,2019-08-01,2025-03-06
223,GLACIER BAY,20565,,-135.8692,58.4561,45.0,1966-01-01,2025-04-04,1966-01-01,2025-04-04
224,GLACIER BAY INNER DOCK,82771,,-135.86971,58.4564,34.0,2016-01-01,2025-04-17,,
225,GLEN ALPS,20695,,-149.6936,61.1,2202.0,1971-01-29,2016-09-30,1971-01-29,2016-09-30
226,GLENNALLEN 64 N,79408,,-145.50031,63.0295,2669.0,2013-08-10,2025-04-18,,
227,GLENNALLEN KCAM,20820,,-145.5331,62.1086,1383.0,1965-12-16,2025-04-18,1965-12-16,2025-04-18
228,GOBBLERS KNOB,77636,,-150.67,66.75,2030.0,1997-07-15,2025-04-16,,
229,GOLD KING ALASKA,65818,,-148.4622,64.4044,556.0,2003-07-29,2025-04-17,,
230,GOLDSTREAM CREEK,40987,,-147.87531,64.8938,577.0,2009-12-01,2025-04-18,2009-12-01,2025-04-18
231,GOLOVIN AIRPORT,20932,PAGL,-163.00716,64.55044,25.0,2019-12-11,2025-04-13,,
232,GOODPASTURE ALASKA,65700,,-145.26691,64.2381,1520.0,1996-07-29,2025-04-17,,
233,GRANDVIEW,77615,,-149.06,60.61,1100.0,1991-09-30,2025-04-16,,
234,GRANITE ALASKA,65703,,-149.287,60.7275,512.0,1997-05-08,2025-04-17,,
235,GRANITE CRK,77597,,-145.39999,63.94,1240.0,1991-08-19,2025-04-16,,
236,GRAPHITE LAKE ALASKA,65701,,-143.28329,67.0333,850.0,1991-06-24,2022-10-12,,
237,GREZELKA RANGE ALASKA,82877,,-149.6167,61.2833,2500.0,2004-12-05,2022-10-20,,
238,GROUSE CREEK DIVIDE,77618,,-149.34,60.26,700.0,1997-08-23,2025-03-23,,
239,GULKANA AIRPORT,20825,PAGK,-145.45885,62.15914,1578.0,1909-02-08,2025-04-17,1909-02-08,2001-07-31
240,GUSTAVUS,29574,PAGS,-135.70889,58.4111,40.0,1923-04-01,2025-04-18,1923-04-01,2025-04-18
241,GUSTAVUS 2 NE,67800,,-135.69,58.4292,20.0,2012-07-20,2025-04-18,,
242,HAIDA ALASKA,65706,,-132.6983,55.3503,1500.0,1989-09-25,2025-01-02,,
