,rain_ERA5_4km,FAIRBANKS INTL AP,month
1980-04-14,0.000,0.000,Apr
1980-04-15,0.000,0.000,Apr
1980-04-16,0.003,0.000,Apr
1980-04-17,0.004,0.000,Apr
1980-04-18,0.001,0.000,Apr
1980-04-19,0.015,0.025,Apr
1980-04-20,0.001,0.000,Apr
1980-04-21,0.002,0.000,Apr
1980-04-22,0.027,0.000,Apr
1980-04-23,0.003,0.000,Apr
1980-04-24,0.000,0.000,Apr
1980-04-25,0.000,0.000,Apr
1980-04-26,0.003,0.076,Apr
1980-04-27,0.000,0.102,Apr
1980-04-28,0.000,0.025,Apr
1980-04-29,0.030,0.000,Apr
1980-04-30,0.076,0.025,Apr
1980-05-01,0.045,0.000,May
1980-05-02,0.030,0.000,May
1980-05-03,0.356,0.025,May
1980-05-04,0.002,0.000,May
1980-05-05,0.000,0.000,May
1980-05-06,0.153,0.025,May
1980-05-07,0.005,0.025,May
1980-05-08,0.000,0.025,May
1980-05-09,0.000,0.025,May
1980-05-10,0.054,0.000,May
1980-05-11,0.007,0.000,May
1980-05-12,0.000,0.000,May
1980-05-13,0.000,0.000,May
1980-05-14,0.000,0.000,May
1980-05-15,0.000,0.000,May
1980-05-16,0.000,0.000,May
1980-05-17,0.059,0.000,May
1980-05-18,0.003,0.000,May
1980-05-19,0.003,0.025,May
1980-05-20,0.020,0.000,May
1980-05-21,0.070,0.000,May
1980-05-22,0.249,0.660,May
1980-05-23,0.068,0.000,May
1980-05-24,0.002,0.000,May
1980-05-25,0.000,0.000,May
1980-05-26,0.000,0.000,May
1980-05-27,0.004,0.000,May
1980-05-28,0.390,0.025,May
1980-05-29,0.008,0.076,May
1980-05-30,0.042,0.025,May
1980-05-31,0.248,0.025,May
1980-06-01,0.073,0.025,Jun
1980-06-02,0.040,0.051,Jun
1980-06-03,0.027,0.025,Jun
1980-06-04,0.000,0.000,Jun
1980-06-05,0.000,0.000,Jun
1980-06-06,0.000,0.000,Jun
1980-06-07,0.067,0.000,Jun
1980-06-08,0.000,0.000,Jun
1980-06-09,0.000,0.000,Jun
1980-06-10,0.050,0.000,Jun
1980-06-11,0.007,0.025,Jun
1980-06-12,0.003,0.000,Jun
1980-06-13,0.028,0.000,Jun
1980-06-14,0.000,0.000,Jun
1980-06-15,0.199,0.000,Jun
1980-06-16,0.000,0.000,Jun
1980-06-17,0.290,0.686,Jun
1980-06-18,0.825,0.229,Jun
1980-06-19,0.204,0.000,Jun
1980-06-20,0.132,0.025,Jun
1980-06-21,0.130,0.127,Jun
1980-06-22,0.034,0.025,Jun
1980-06-23,0.014,0.000,Jun
1980-06-24,0.000,0.000,Jun
1980-06-25,0.023,0.000,Jun
1980-06-26,0.017,0.000,Jun
1980-06-27,0.006,0.432,Jun
1980-06-28,0.212,0.127,Jun
1980-06-29,0.042,0.025,Jun
1980-06-30,0.343,1.753,Jun
1980-07-01,0.000,0.000,Jul
1980-07-02,0.000,0.000,Jul
1980-07-03,0.017,0.000,Jul
1980-07-04,0.000,0.025,Jul
1980-07-05,0.000,0.000,Jul
1980-07-06,0.271,0.000,Jul
1980-07-07,0.082,0.279,Jul
1980-07-08,0.074,0.025,Jul
1980-07-09,0.679,0.000,Jul
1980-07-10,0.001,0.076,Jul
1980-07-11,0.032,0.025,Jul
1980-07-12,0.067,0.076,Jul
1980-07-13,0.403,0.102,Jul
1980-07-14,0.010,0.025,Jul
1980-07-15,0.783,0.229,Jul
1980-07-16,0.171,0.076,Jul
1980-07-17,0.000,0.000,Jul
