Time,precip_mm_ERA5_4km,JUNEAU AIRPORT,month
1970-05-07,0.000,6.096,May
1970-05-08,0.000,3.810,May
1970-05-09,0.000,4.318,May
1970-05-10,0.000,0.762,May
1970-05-11,0.000,0.000,May
1970-05-12,0.000,0.000,May
1970-05-13,0.000,2.286,May
1970-05-14,0.000,4.826,May
1970-05-15,0.000,0.254,May
1970-05-16,0.000,12.954,May
1970-05-17,0.000,2.032,May
1970-05-18,0.000,0.762,May
1970-05-19,0.000,0.000,May
1970-05-20,0.000,0.254,May
1970-05-21,0.000,1.270,May
1970-05-22,0.000,15.240,May
1970-05-23,0.000,3.048,May
1970-05-24,0.000,11.430,May
1970-05-25,0.000,0.254,May
1970-05-26,0.000,0.254,May
1970-05-27,0.000,0.254,May
1970-05-28,0.000,0.254,May
1970-05-29,0.000,0.508,May
1970-05-30,0.000,0.254,May
1970-05-31,0.000,4.572,May
1970-06-01,0.000,3.556,Jun
1970-06-02,0.000,5.842,Jun
1970-06-03,0.000,16.002,Jun
1970-06-04,0.000,2.540,Jun
1970-06-05,0.000,0.000,Jun
1970-06-06,0.000,0.254,Jun
1970-06-07,0.000,6.858,Jun
1970-06-08,0.000,0.762,Jun
1970-06-09,0.000,0.000,Jun
1970-06-10,0.000,0.762,Jun
1970-06-11,0.000,0.254,Jun
1970-06-12,0.000,0.508,Jun
1970-06-13,0.000,8.128,Jun
1970-06-14,0.000,0.000,Jun
1970-06-15,0.000,0.254,Jun
1970-06-16,0.000,0.000,Jun
1970-06-17,0.000,0.000,Jun
1970-06-18,0.000,0.254,Jun
1970-06-19,0.000,0.254,Jun
1970-06-20,0.000,2.032,Jun
1970-06-21,0.000,5.588,Jun
1970-06-22,0.000,1.016,Jun
1970-06-23,0.000,4.318,Jun
1970-06-24,0.000,9.398,Jun
1970-06-25,0.000,4.318,Jun
1970-06-26,0.000,1.270,Jun
1970-06-27,0.000,0.254,Jun
1970-06-28,0.000,1.016,Jun
1970-06-29,0.000,1.524,Jun
1970-06-30,0.000,0.254,Jun
1970-07-01,0.000,0.254,Jul
1970-07-02,0.000,0.254,Jul
1970-07-03,0.000,8.890,Jul
1970-07-04,0.000,9.652,Jul
1970-07-05,0.000,12.954,Jul
1970-07-06,0.000,6.858,Jul
1970-07-07,0.000,9.398,Jul
1970-07-08,0.000,4.572,Jul
1970-07-09,0.000,0.254,Jul
1970-07-10,0.000,10.160,Jul
1970-07-11,0.000,0.254,Jul
1970-07-12,0.000,0.254,Jul
1970-07-13,0.000,2.540,Jul
1970-07-14,0.000,12.954,Jul
1970-07-15,0.000,0.508,Jul
1970-07-16,0.000,1.016,Jul
1970-07-17,0.000,5.080,Jul
1970-07-18,0.000,0.254,Jul
1970-07-19,0.000,12.700,Jul
1970-07-20,0.000,0.254,Jul
1970-07-21,0.000,0.254,Jul
1970-07-22,0.000,6.350,Jul
1970-07-23,0.000,14.224,Jul
1970-07-24,0.000,7.874,Jul
1970-07-25,0.000,0.000,Jul
1970-07-26,0.000,0.000,Jul
1970-07-27,0.000,0.000,Jul
1970-07-28,0.000,0.000,Jul
1970-07-29,0.000,0.254,Jul
1970-07-30,0.000,1.524,Jul
1970-07-31,0.000,0.254,Jul
1970-08-01,0.000,21.336,Aug
1970-08-02,0.000,0.254,Aug
1970-08-03,0.000,2.032,Aug
1970-08-04,0.000,0.254,Aug
1970-08-05,0.000,1.016,Aug
1970-08-06,0.000,7.366,Aug
1970-08-07,0.000,6.604,Aug
1970-08-08,0.000,4.064,Aug
1970-08-09,0.000,7.620,Aug
1970-08-10,0.000,6.350,Aug
1970-08-11,0.000,8.382,Aug
1970-08-12,0.000,0.254,Aug
1970-08-13,0.000,0.762,Aug
1970-08-14,0.000,13.970,Aug
1970-08-15,0.000,22.352,Aug
1970-08-16,0.000,8.636,Aug
1970-08-17,0.000,2.794,Aug
1970-08-18,0.000,23.876,Aug
1970-08-19,0.000,10.160,Aug
1970-08-20,0.000,0.508,Aug
1970-08-21,0.000,5.842,Aug
1970-08-22,0.000,2.540,Aug
1970-08-23,0.000,0.254,Aug
1970-08-24,0.000,0.000,Aug
1970-08-25,0.000,0.000,Aug
1970-08-26,0.000,0.000,Aug
1970-08-27,0.000,0.000,Aug
1970-08-28,0.000,0.000,Aug
1970-08-29,0.000,11.430,Aug
1970-08-30,0.000,1.524,Aug
1970-08-31,0.000,20.066,Aug
1970-09-01,0.000,16.002,Sep
1970-09-02,0.000,11.938,Sep
1970-09-03,0.000,0.762,Sep
1970-09-04,0.000,10.668,Sep
1970-09-05,0.000,17.272,Sep
1970-09-06,0.000,5.588,Sep
1970-09-07,0.000,0.508,Sep
1970-09-08,0.000,12.192,Sep
1970-09-09,0.000,10.668,Sep
1970-09-10,0.000,0.000,Sep
1970-09-11,0.000,0.000,Sep
1970-09-12,0.000,0.000,Sep
1970-09-13,0.000,0.254,Sep
1970-09-14,0.000,0.254,Sep
1970-09-15,0.000,1.270,Sep
1970-09-16,0.000,5.334,Sep
1970-09-17,0.000,1.016,Sep
1970-09-18,0.000,11.684,Sep
1970-09-19,0.000,7.366,Sep
1970-09-20,0.000,8.636,Sep
1970-09-21,0.000,4.826,Sep
1970-09-22,0.000,1.778,Sep
1970-09-23,0.000,0.000,Sep
1970-09-24,0.000,3.556,Sep
1970-09-25,0.000,7.620,Sep
1970-09-26,0.000,14.478,Sep
1970-09-27,0.000,11.684,Sep
1970-09-28,0.000,37.084,Sep
1970-09-29,0.000,38.608,Sep
1970-09-30,0.000,9.906,Sep
1970-10-01,0.000,0.254,Oct
1970-10-02,0.000,13.462,Oct
1970-10-03,0.000,0.254,Oct
1970-10-04,0.000,0.762,Oct
1970-10-05,0.000,0.000,Oct
1970-10-06,0.000,2.540,Oct
1970-10-07,0.000,0.508,Oct
1970-10-08,0.000,2.286,Oct
1970-10-09,0.000,5.588,Oct
1970-10-10,0.000,3.556,Oct
1970-10-11,0.000,1.524,Oct
1970-10-12,0.000,9.144,Oct
1970-10-13,0.000,4.572,Oct
1970-10-14,0.000,3.556,Oct
1970-10-15,0.000,34.544,Oct
1970-10-16,0.000,0.254,Oct
1970-10-17,0.000,0.254,Oct
1970-10-18,0.000,0.508,Oct
1970-10-19,0.000,14.224,Oct
1970-10-20,0.000,0.254,Oct
1970-10-21,0.000,0.254,Oct
1970-10-22,0.000,0.254,Oct
1970-10-23,0.000,1.016,Oct
1970-10-24,0.000,4.572,Oct
1970-10-25,0.000,0.508,Oct
1970-10-26,0.000,7.112,Oct
1970-10-27,0.000,3.556,Oct
1970-10-28,0.000,17.780,Oct
1970-10-29,0.000,10.160,Oct
1970-10-30,0.000,3.302,Oct
1970-10-31,0.000,3.556,Oct
1970-11-01,0.000,5.334,Nov
1970-11-02,0.000,0.000,Nov
1970-11-03,0.000,0.000,Nov
1970-11-04,0.000,0.000,Nov
1970-11-05,0.000,0.000,Nov
1970-11-06,0.000,0.000,Nov
1970-11-07,0.000,3.556,Nov
1970-11-08,0.000,0.000,Nov
1970-11-09,0.000,0.000,Nov
1970-11-10,0.000,1.016,Nov
1970-11-11,0.000,4.318,Nov
1970-11-12,0.000,0.254,Nov
1970-11-13,0.000,0.762,Nov
1970-11-14,0.000,5.080,Nov
1970-11-15,0.000,1.270,Nov
1970-11-16,0.000,7.366,Nov
1970-11-17,0.000,1.270,Nov
1970-11-18,0.000,5.334,Nov
1970-11-19,0.000,0.000,Nov
1970-11-20,0.000,0.000,Nov
1970-11-21,0.000,3.810,Nov
1970-11-22,0.000,3.556,Nov
1970-11-23,0.000,0.254,Nov
1970-11-24,0.000,0.000,Nov
1970-11-25,0.000,4.318,Nov
1970-11-26,0.000,0.000,Nov
1970-11-27,0.000,0.254,Nov
1970-11-28,0.000,3.810,Nov
1970-11-29,0.000,0.000,Nov
1970-11-30,0.000,0.000,Nov
1970-12-01,0.000,0.000,Dec
1970-12-02,0.000,0.000,Dec
1970-12-03,0.000,0.000,Dec
1970-12-04,0.000,0.000,Dec
1970-12-05,0.000,0.254,Dec
1970-12-06,0.000,4.572,Dec
1970-12-07,0.000,3.556,Dec
1970-12-08,0.000,1.524,Dec
1970-12-09,0.000,2.794,Dec
1970-12-10,0.000,4.826,Dec
1970-12-11,0.000,0.762,Dec
1970-12-12,0.000,4.318,Dec
1970-12-13,0.000,4.826,Dec
1970-12-14,0.000,0.254,Dec
1970-12-15,0.000,0.000,Dec
1970-12-16,0.000,0.000,Dec
1970-12-17,0.000,0.000,Dec
1970-12-18,0.000,0.000,Dec
1970-12-19,0.000,0.000,Dec
1970-12-20,0.000,0.000,Dec
1970-12-21,0.000,0.254,Dec
1970-12-22,0.000,2.540,Dec
1970-12-23,0.000,0.508,Dec
1970-12-24,0.000,10.668,Dec
1970-12-25,0.000,7.366,Dec
1970-12-26,0.000,4.826,Dec
1970-12-27,0.000,1.524,Dec
1970-12-28,0.000,2.794,Dec
1970-12-29,0.000,4.572,Dec
1970-12-30,0.000,0.254,Dec
1970-12-31,0.000,3.556,Dec
1971-01-01,0.000,0.508,Jan
1971-01-02,0.000,0.000,Jan
1971-01-03,0.000,0.254,Jan
1971-01-04,0.000,21.336,Jan
1971-01-05,0.000,25.654,Jan
1971-01-06,0.000,27.178,Jan
1971-01-07,0.000,18.288,Jan
1971-01-08,0.000,0.254,Jan
1971-01-09,0.000,0.000,Jan
1971-01-10,0.000,0.000,Jan
1971-01-11,0.000,0.000,Jan
1971-01-12,0.000,0.000,Jan
1971-01-13,0.000,0.000,Jan
1971-01-14,0.000,0.000,Jan
1971-01-15,0.000,0.000,Jan
1971-01-16,0.000,0.254,Jan
1971-01-17,0.000,9.906,Jan
1971-01-18,0.000,3.810,Jan
1971-01-19,0.000,0.254,Jan
1971-01-20,0.000,0.508,Jan
1971-01-21,0.000,2.540,Jan
1971-01-22,0.000,5.334,Jan
1971-01-23,0.000,4.826,Jan
1971-01-24,0.000,0.254,Jan
1971-01-25,0.000,2.032,Jan
1971-01-26,0.000,6.350,Jan
1971-01-27,0.000,5.080,Jan
1971-01-28,0.000,5.842,Jan
1971-01-29,0.000,0.254,Jan
1971-01-30,0.000,0.000,Jan
1971-01-31,0.000,1.270,Jan
1971-02-01,0.000,2.032,Feb
1971-02-02,0.000,7.874,Feb
1971-02-03,0.000,0.254,Feb
1971-02-04,0.000,0.254,Feb
1971-02-05,0.000,0.254,Feb
1971-02-06,0.000,0.762,Feb
1971-02-07,0.000,9.144,Feb
1971-02-08,0.000,4.318,Feb
1971-02-09,0.000,9.906,Feb
1971-02-10,0.000,0.254,Feb
1971-02-11,0.000,0.254,Feb
1971-02-12,0.000,8.128,Feb
1971-02-13,0.000,6.604,Feb
1971-02-14,0.000,3.556,Feb
1971-02-15,0.000,3.556,Feb
1971-02-16,0.000,1.778,Feb
1971-02-17,0.000,0.254,Feb
1971-02-18,0.000,0.762,Feb
1971-02-19,0.000,0.508,Feb
1971-02-20,0.000,12.446,Feb
1971-02-21,0.000,7.620,Feb
1971-02-22,0.000,4.318,Feb
1971-02-23,0.000,6.604,Feb
1971-02-24,0.000,1.778,Feb
1971-02-25,0.000,4.318,Feb
1971-02-26,0.000,3.048,Feb
1971-02-27,0.000,0.254,Feb
1971-02-28,0.000,0.254,Feb
1971-03-01,0.000,5.080,Mar
1971-03-02,0.000,3.302,Mar
1971-03-03,0.000,8.636,Mar
1971-03-04,0.000,8.382,Mar
1971-03-05,0.000,2.794,Mar
1971-03-06,0.000,27.686,Mar
1971-03-07,0.000,0.254,Mar
1971-03-08,0.000,0.762,Mar
1971-03-09,0.000,4.064,Mar
1971-03-10,0.000,0.254,Mar
1971-03-11,0.000,1.524,Mar
1971-03-12,0.000,0.000,Mar
1971-03-13,0.000,3.048,Mar
1971-03-14,0.000,0.762,Mar
1971-03-15,0.000,3.048,Mar
1971-03-16,0.000,0.254,Mar
1971-03-17,0.000,0.254,Mar
1971-03-18,0.000,7.874,Mar
1971-03-19,0.000,1.016,Mar
1971-03-20,0.000,0.000,Mar
1971-03-21,0.000,0.000,Mar
1971-03-22,0.000,0.000,Mar
1971-03-23,0.000,0.000,Mar
1971-03-24,0.000,0.254,Mar
1971-03-25,0.000,0.254,Mar
1971-03-26,0.000,0.000,Mar
1971-03-27,0.000,0.254,Mar
1971-03-28,0.000,0.000,Mar
1971-03-29,0.000,4.826,Mar
1971-03-30,0.000,0.254,Mar
1971-03-31,0.000,1.016,Mar
1971-04-01,0.000,0.762,Apr
1971-04-02,0.000,4.826,Apr
1971-04-03,0.000,18.542,Apr
1971-04-04,0.000,0.254,Apr
1971-04-05,0.000,5.080,Apr
1971-04-06,0.000,4.826,Apr
1971-04-07,0.000,0.254,Apr
1971-04-08,0.000,0.254,Apr
1971-04-09,0.000,0.000,Apr
1971-04-10,0.000,0.000,Apr
1971-04-11,0.000,0.000,Apr
1971-04-12,0.000,0.000,Apr
1971-04-13,0.000,5.334,Apr
1971-04-14,0.000,2.794,Apr
1971-04-15,0.000,2.286,Apr
1971-04-16,0.000,0.254,Apr
1971-04-17,0.000,4.826,Apr
1971-04-18,0.000,3.048,Apr
1971-04-19,0.000,0.254,Apr
1971-04-20,0.000,0.254,Apr
1971-04-21,0.000,0.254,Apr
1971-04-22,0.000,0.000,Apr
1971-04-23,0.000,0.254,Apr
1971-04-24,0.000,0.000,Apr
1971-04-25,0.000,3.556,Apr
1971-04-26,0.000,4.064,Apr
1971-04-27,0.000,0.762,Apr
1971-04-28,0.000,0.000,Apr
1971-04-29,0.000,0.254,Apr
1971-04-30,0.000,1.016,Apr
1971-05-01,0.000,1.016,May
1971-05-02,0.000,8.890,May
1971-05-03,0.000,2.540,May
1971-05-04,0.000,0.254,May
1971-05-05,0.000,0.000,May
1971-05-06,0.000,22.352,May
1971-05-07,0.000,4.064,May
1971-05-08,0.000,0.762,May
1971-05-09,0.000,0.254,May
1971-05-10,0.000,22.860,May
1971-05-11,0.000,2.540,May
1971-05-12,0.000,0.254,May
1971-05-13,0.000,1.016,May
1971-05-14,0.000,0.254,May
1971-05-15,0.000,0.000,May
1971-05-16,0.000,0.000,May
1971-05-17,0.000,0.000,May
1971-05-18,0.000,2.794,May
1971-05-19,0.000,1.270,May
1971-05-20,0.000,7.112,May
1971-05-21,0.000,6.604,May
1971-05-22,0.000,0.254,May
1971-05-23,0.000,3.048,May
1971-05-24,0.000,0.254,May
1971-05-25,0.000,0.254,May
1971-05-26,0.000,2.794,May
1971-05-27,0.000,0.254,May
1971-05-28,0.000,12.700,May
1971-05-29,0.000,6.350,May
1971-05-30,0.000,0.508,May
1971-05-31,0.000,0.000,May
1971-06-01,0.000,1.778,Jun
1971-06-02,0.000,0.000,Jun
1971-06-03,0.000,0.000,Jun
1971-06-04,0.000,0.000,Jun
1971-06-05,0.000,0.000,Jun
1971-06-06,0.000,0.000,Jun
1971-06-07,0.000,0.000,Jun
1971-06-08,0.000,0.000,Jun
1971-06-09,0.000,0.000,Jun
1971-06-10,0.000,0.254,Jun
1971-06-11,0.000,2.794,Jun
1971-06-12,0.000,0.000,Jun
1971-06-13,0.000,0.000,Jun
1971-06-14,0.000,0.000,Jun
1971-06-15,0.000,0.000,Jun
1971-06-16,0.000,0.254,Jun
1971-06-17,0.000,0.254,Jun
1971-06-18,0.000,0.254,Jun
1971-06-19,0.000,1.524,Jun
1971-06-20,0.000,1.270,Jun
1971-06-21,0.000,0.254,Jun
1971-06-22,0.000,0.254,Jun
1971-06-23,0.000,21.082,Jun
1971-06-24,0.000,1.778,Jun
1971-06-25,0.000,0.762,Jun
1971-06-26,0.000,0.000,Jun
1971-06-27,0.000,0.254,Jun
1971-06-28,0.000,5.334,Jun
1971-06-29,0.000,5.842,Jun
1971-06-30,0.000,1.778,Jun
1971-07-01,0.000,3.556,Jul
1971-07-02,0.000,3.810,Jul
1971-07-03,0.000,0.254,Jul
1971-07-04,0.000,0.000,Jul
1971-07-05,0.000,0.000,Jul
1971-07-06,0.000,0.000,Jul
1971-07-07,0.000,0.000,Jul
1971-07-08,0.000,0.000,Jul
1971-07-09,0.000,0.000,Jul
1971-07-10,0.000,0.000,Jul
1971-07-11,0.000,0.000,Jul
1971-07-12,0.000,0.000,Jul
1971-07-13,0.000,0.000,Jul
1971-07-14,0.000,0.508,Jul
1971-07-15,0.000,9.398,Jul
1971-07-16,0.000,12.446,Jul
1971-07-17,0.000,0.254,Jul
1971-07-18,0.000,0.254,Jul
1971-07-19,0.000,0.000,Jul
1971-07-20,0.000,12.700,Jul
1971-07-21,0.000,0.254,Jul
1971-07-22,0.000,0.000,Jul
1971-07-23,0.000,0.000,Jul
1971-07-24,0.000,0.000,Jul
1971-07-25,0.000,0.254,Jul
1971-07-26,0.000,0.254,Jul
1971-07-27,0.000,0.000,Jul
1971-07-28,0.000,0.254,Jul
1971-07-29,0.000,0.254,Jul
1971-07-30,0.000,0.254,Jul
1971-07-31,0.000,0.000,Jul
1971-08-01,0.000,4.064,Aug
1971-08-02,0.000,41.402,Aug
1971-08-03,0.000,9.906,Aug
1971-08-04,0.000,0.254,Aug
1971-08-05,0.000,1.270,Aug
1971-08-06,0.000,20.066,Aug
1971-08-07,0.000,7.366,Aug
1971-08-08,0.000,0.254,Aug
1971-08-09,0.000,0.254,Aug
1971-08-10,0.000,0.254,Aug
1971-08-11,0.000,0.254,Aug
1971-08-12,0.000,0.000,Aug
1971-08-13,0.000,11.684,Aug
1971-08-14,0.000,12.192,Aug
1971-08-15,0.000,16.510,Aug
1971-08-16,0.000,0.254,Aug
1971-08-17,0.000,0.000,Aug
1971-08-18,0.000,0.254,Aug
1971-08-19,0.000,12.700,Aug
1971-08-20,0.000,2.794,Aug
1971-08-21,0.000,3.302,Aug
1971-08-22,0.000,2.540,Aug
1971-08-23,0.000,5.334,Aug
1971-08-24,0.000,4.572,Aug
1971-08-25,0.000,3.810,Aug
1971-08-26,0.000,7.366,Aug
1971-08-27,0.000,0.000,Aug
1971-08-28,0.000,0.000,Aug
1971-08-29,0.000,0.254,Aug
1971-08-30,0.000,0.000,Aug
1971-08-31,0.000,7.620,Aug
1971-09-01,0.000,14.478,Sep
1971-09-02,0.000,9.144,Sep
1971-09-03,0.000,8.636,Sep
1971-09-04,0.000,3.048,Sep
1971-09-05,0.000,8.128,Sep
1971-09-06,0.000,4.826,Sep
1971-09-07,0.000,18.288,Sep
1971-09-08,0.000,7.874,Sep
1971-09-09,0.000,0.508,Sep
1971-09-10,0.000,1.524,Sep
1971-09-11,0.000,0.762,Sep
1971-09-12,0.000,4.826,Sep
1971-09-13,0.000,2.286,Sep
1971-09-14,0.000,1.270,Sep
1971-09-15,0.000,0.254,Sep
1971-09-16,0.000,0.254,Sep
1971-09-17,0.000,17.780,Sep
1971-09-18,0.000,14.986,Sep
1971-09-19,0.000,0.254,Sep
1971-09-20,0.000,0.254,Sep
1971-09-21,0.000,4.572,Sep
1971-09-22,0.000,0.254,Sep
1971-09-23,0.000,0.000,Sep
1971-09-24,0.000,0.000,Sep
1971-09-25,0.000,0.000,Sep
1971-09-26,0.000,0.000,Sep
1971-09-27,0.000,0.254,Sep
1971-09-28,0.000,0.000,Sep
1971-09-29,0.000,0.000,Sep
1971-09-30,0.000,12.954,Sep
1971-10-01,0.000,5.588,Oct
1971-10-02,0.000,6.858,Oct
1971-10-03,0.000,4.064,Oct
1971-10-04,0.000,0.508,Oct
1971-10-05,0.000,14.986,Oct
1971-10-06,0.000,0.508,Oct
1971-10-07,0.000,11.176,Oct
1971-10-08,0.000,5.080,Oct
1971-10-09,0.000,0.000,Oct
1971-10-10,0.000,13.462,Oct
1971-10-11,0.000,1.524,Oct
1971-10-12,0.000,0.508,Oct
1971-10-13,0.000,5.080,Oct
1971-10-14,0.000,0.254,Oct
1971-10-15,0.000,0.000,Oct
1971-10-16,0.000,15.748,Oct
1971-10-17,0.000,2.286,Oct
1971-10-18,0.000,0.254,Oct
1971-10-19,0.000,0.000,Oct
1971-10-20,0.000,0.508,Oct
1971-10-21,0.000,2.032,Oct
1971-10-22,0.000,1.016,Oct
1971-10-23,0.000,13.208,Oct
1971-10-24,0.000,1.016,Oct
1971-10-25,0.000,7.874,Oct
1971-10-26,0.000,0.000,Oct
1971-10-27,0.000,0.000,Oct
1971-10-28,0.000,15.240,Oct
1971-10-29,0.000,0.508,Oct
1971-10-30,0.000,7.874,Oct
1971-10-31,0.000,10.414,Oct
1971-11-01,0.000,0.254,Nov
1971-11-02,0.000,3.810,Nov
1971-11-03,0.000,0.000,Nov
1971-11-04,0.000,0.000,Nov
1971-11-05,0.000,0.000,Nov
1971-11-06,0.000,11.938,Nov
1971-11-07,0.000,1.016,Nov
1971-11-08,0.000,0.508,Nov
1971-11-09,0.000,0.000,Nov
1971-11-10,0.000,0.254,Nov
1971-11-11,0.000,5.588,Nov
1971-11-12,0.000,0.254,Nov
1971-11-13,0.000,0.000,Nov
1971-11-14,0.000,1.524,Nov
1971-11-15,0.000,5.842,Nov
1971-11-16,0.000,15.494,Nov
1971-11-17,0.000,28.702,Nov
1971-11-18,0.000,14.478,Nov
1971-11-19,0.000,5.080,Nov
1971-11-20,0.000,0.254,Nov
1971-11-21,0.000,0.254,Nov
1971-11-22,0.000,0.254,Nov
1971-11-23,0.000,0.000,Nov
1971-11-24,0.000,0.000,Nov
1971-11-25,0.000,1.016,Nov
1971-11-26,0.000,1.270,Nov
1971-11-27,0.000,6.096,Nov
1971-11-28,0.000,0.508,Nov
1971-11-29,0.000,5.588,Nov
1971-11-30,0.000,2.540,Nov
1971-12-01,0.000,8.382,Dec
1971-12-02,0.000,1.778,Dec
1971-12-03,0.000,0.254,Dec
1971-12-04,0.000,1.270,Dec
1971-12-05,0.000,0.508,Dec
1971-12-06,0.000,6.096,Dec
1971-12-07,0.000,15.748,Dec
1971-12-08,0.000,4.318,Dec
1971-12-09,0.000,0.000,Dec
1971-12-10,0.000,0.508,Dec
1971-12-11,0.000,1.016,Dec
1971-12-12,0.000,0.000,Dec
1971-12-13,0.000,2.286,Dec
1971-12-14,0.000,0.000,Dec
1971-12-15,0.000,13.462,Dec
1971-12-16,0.000,3.556,Dec
1971-12-17,0.000,0.254,Dec
1971-12-18,0.000,0.762,Dec
1971-12-19,0.000,1.778,Dec
1971-12-20,0.000,0.254,Dec
1971-12-21,0.000,0.000,Dec
1971-12-22,0.000,0.000,Dec
1971-12-23,0.000,0.000,Dec
1971-12-24,0.000,0.000,Dec
1971-12-25,0.000,0.000,Dec
1971-12-26,0.000,1.778,Dec
1971-12-27,0.000,1.016,Dec
1971-12-28,0.000,4.826,Dec
1971-12-29,0.000,3.302,Dec
1971-12-30,0.000,8.890,Dec
1971-12-31,0.000,0.254,Dec
1972-01-01,0.000,0.762,Jan
1972-01-02,0.000,0.254,Jan
1972-01-03,0.000,12.700,Jan
1972-01-04,0.000,2.032,Jan
1972-01-05,0.000,13.208,Jan
1972-01-06,0.000,1.524,Jan
1972-01-07,0.000,3.810,Jan
1972-01-08,0.000,12.446,Jan
1972-01-09,0.000,7.112,Jan
1972-01-10,0.000,2.286,Jan
