# Monthly mean ERA5 temperature for PABR, lon/lat = 203.25/71.25
# Chris Waigl, cwaigl@alaska.edu, 2025-10-29 02:01:47.136017
Time,t2m,year,month
1987-06-30,1.716,1987,6
1987-07-31,4.424,1987,7
1987-08-31,3.568,1987,8
1987-09-30,-2.044,1987,9
1987-10-31,-4.872,1987,10
1987-11-30,-21.212,1987,11
1987-12-31,-22.907,1987,12
1988-01-31,-22.935,1988,1
1988-02-29,-25.849,1988,2
1988-03-31,-24.674,1988,3
1988-04-30,-16.607,1988,4
1988-05-31,-6.447,1988,5
1988-06-30,1.810,1988,6
1988-07-31,4.883,1988,7
1988-08-31,2.566,1988,8
1988-09-30,-1.686,1988,9
1988-10-31,-15.238,1988,10
1988-11-30,-26.254,1988,11
1988-12-31,-23.230,1988,12
1989-01-31,-30.097,1989,1
1989-02-28,-11.023,1989,2
1989-03-31,-19.892,1989,3
1989-04-30,-12.632,1989,4
1989-05-31,-6.446,1989,5
1989-06-30,3.008,1989,6
1989-07-31,7.040,1989,7
1989-08-31,6.966,1989,8
1989-09-30,1.197,1989,9
1989-10-31,-7.620,1989,10
1989-11-30,-25.669,1989,11
1989-12-31,-22.804,1989,12
1990-01-31,-30.463,1990,1
1990-02-28,-29.716,1990,2
1990-03-31,-22.205,1990,3
1990-04-30,-10.251,1990,4
1990-05-31,-1.455,1990,5
1990-06-30,4.044,1990,6
1990-07-31,6.047,1990,7
1990-08-31,3.214,1990,8
1990-09-30,-0.404,1990,9
1990-10-31,-7.435,1990,10
1990-11-30,-21.244,1990,11
1990-12-31,-27.433,1990,12
1991-01-31,-24.170,1991,1
1991-02-28,-26.820,1991,2
1991-03-31,-26.654,1991,3
1991-04-30,-14.153,1991,4
1991-05-31,-1.538,1991,5
1991-06-30,3.388,1991,6
1991-07-31,3.646,1991,7
1991-08-31,1.896,1991,8
1991-09-30,-1.080,1991,9
1991-10-31,-6.695,1991,10
1991-11-30,-21.991,1991,11
1991-12-31,-26.289,1991,12
1992-01-31,-26.397,1992,1
1992-02-29,-27.770,1992,2
1992-03-31,-19.678,1992,3
1992-04-30,-14.598,1992,4
1992-05-31,-5.090,1992,5
1992-06-30,2.851,1992,6
1992-07-31,4.287,1992,7
1992-08-31,3.558,1992,8
1992-09-30,-4.097,1992,9
1992-10-31,-10.649,1992,10
1992-11-30,-17.875,1992,11
1992-12-31,-22.879,1992,12
1993-01-31,-23.054,1993,1
1993-02-28,-22.176,1993,2
1993-03-31,-22.967,1993,3
1993-04-30,-12.864,1993,4
1993-05-31,-4.274,1993,5
1993-06-30,3.151,1993,6
1993-07-31,7.230,1993,7
1993-08-31,2.749,1993,8
1993-09-30,-0.086,1993,9
1993-10-31,-4.856,1993,10
1993-11-30,-15.251,1993,11
1993-12-31,-22.271,1993,12
1994-01-31,-22.915,1994,1
1994-02-28,-22.106,1994,2
1994-03-31,-26.861,1994,3
1994-04-30,-16.613,1994,4
1994-05-31,-5.631,1994,5
1994-06-30,1.533,1994,6
1994-07-31,5.275,1994,7
1994-08-31,5.260,1994,8
1994-09-30,-2.872,1994,9
1994-10-31,-12.538,1994,10
1994-11-30,-22.839,1994,11
1994-12-31,-26.589,1994,12
1995-01-31,-22.608,1995,1
1995-02-28,-25.781,1995,2
1995-03-31,-24.861,1995,3
1995-04-30,-10.807,1995,4
1995-05-31,-2.318,1995,5
1995-06-30,2.933,1995,6
1995-07-31,4.557,1995,7
1995-08-31,2.223,1995,8
1995-09-30,1.842,1995,9
1995-10-31,-6.845,1995,10
1995-11-30,-14.153,1995,11
1995-12-31,-23.534,1995,12
1996-01-31,-22.359,1996,1
1996-02-29,-25.635,1996,2
1996-03-31,-18.560,1996,3
1996-04-30,-15.472,1996,4
1996-05-31,-2.309,1996,5
1996-06-30,4.149,1996,6
1996-07-31,5.838,1996,7
1996-08-31,2.581,1996,8
1996-09-30,-2.424,1996,9
1996-10-31,-14.052,1996,10
1996-11-30,-13.409,1996,11
1996-12-31,-21.366,1996,12
1997-01-31,-27.928,1997,1
1997-02-28,-25.265,1997,2
1997-03-31,-24.339,1997,3
1997-04-30,-14.178,1997,4
1997-05-31,-4.890,1997,5
1997-06-30,2.650,1997,6
1997-07-31,4.918,1997,7
1997-08-31,4.511,1997,8
1997-09-30,1.471,1997,9
1997-10-31,-6.754,1997,10
1997-11-30,-11.380,1997,11
1997-12-31,-25.721,1997,12
1998-01-31,-27.398,1998,1
1998-02-28,-25.879,1998,2
1998-03-31,-18.566,1998,3
1998-04-30,-8.830,1998,4
1998-05-31,-3.850,1998,5
1998-06-30,4.301,1998,6
1998-07-31,6.681,1998,7
1998-08-31,5.245,1998,8
1998-09-30,2.829,1998,9
1998-10-31,-3.553,1998,10
1998-11-30,-10.452,1998,11
1998-12-31,-19.264,1998,12
1999-01-31,-28.445,1999,1
1999-02-28,-25.748,1999,2
1999-03-31,-25.923,1999,3
1999-04-30,-18.204,1999,4
1999-05-31,-4.051,1999,5
1999-06-30,2.975,1999,6
1999-07-31,5.189,1999,7
1999-08-31,5.238,1999,8
1999-09-30,0.638,1999,9
1999-10-31,-8.210,1999,10
1999-11-30,-19.724,1999,11
1999-12-31,-27.304,1999,12
2000-01-31,-24.347,2000,1
2000-02-29,-25.148,2000,2
2000-03-31,-22.256,2000,3
2000-04-30,-15.883,2000,4
2000-05-31,-7.351,2000,5
2000-06-30,3.898,2000,6
2000-07-31,3.843,2000,7
2000-08-31,3.506,2000,8
2000-09-30,0.020,2000,9
2000-10-31,-7.945,2000,10
2000-11-30,-17.899,2000,11
2000-12-31,-20.818,2000,12
2001-01-31,-22.897,2001,1
2001-02-28,-18.249,2001,2
2001-03-31,-24.137,2001,3
2001-04-30,-14.699,2001,4
2001-05-31,-8.086,2001,5
2001-06-30,3.089,2001,6
2001-07-31,4.046,2001,7
2001-08-31,2.092,2001,8
2001-09-30,0.155,2001,9
2001-10-31,-11.911,2001,10
2001-11-30,-16.489,2001,11
2001-12-31,-22.193,2001,12
2002-01-31,-27.072,2002,1
2002-02-28,-27.111,2002,2
2002-03-31,-16.542,2002,3
2002-04-30,-14.270,2002,4
2002-05-31,-2.252,2002,5
2002-06-30,2.211,2002,6
2002-07-31,4.288,2002,7
2002-08-31,3.292,2002,8
2002-09-30,2.346,2002,9
2002-10-31,-4.169,2002,10
2002-11-30,-13.518,2002,11
2002-12-31,-18.113,2002,12
2003-01-31,-22.207,2003,1
2003-02-28,-26.606,2003,2
2003-03-31,-23.095,2003,3
2003-04-30,-11.040,2003,4
2003-05-31,-3.799,2003,5
2003-06-30,2.645,2003,6
2003-07-31,5.349,2003,7
2003-08-31,2.550,2003,8
2003-09-30,0.245,2003,9
2003-10-31,-3.581,2003,10
2003-11-30,-15.144,2003,11
2003-12-31,-21.628,2003,12
2004-01-31,-21.405,2004,1
2004-02-29,-28.879,2004,2
2004-03-31,-24.656,2004,3
2004-04-30,-15.917,2004,4
2004-05-31,-3.740,2004,5
2004-06-30,4.273,2004,6
2004-07-31,5.631,2004,7
2004-08-31,6.240,2004,8
2004-09-30,0.751,2004,9
2004-10-31,-5.355,2004,10
2004-11-30,-16.609,2004,11
2004-12-31,-22.792,2004,12
2005-01-31,-21.009,2005,1
2005-02-28,-24.056,2005,2
2005-03-31,-20.472,2005,3
2005-04-30,-15.359,2005,4
2005-05-31,-4.473,2005,5
2005-06-30,1.642,2005,6
2005-07-31,3.877,2005,7
2005-08-31,5.159,2005,8
2005-09-30,0.956,2005,9
2005-10-31,-4.764,2005,10
2005-11-30,-18.445,2005,11
2005-12-31,-19.960,2005,12
2006-01-31,-24.800,2006,1
2006-02-28,-20.861,2006,2
2006-03-31,-26.454,2006,3
2006-04-30,-18.698,2006,4
2006-05-31,-3.457,2006,5
2006-06-30,3.655,2006,6
2006-07-31,3.898,2006,7
2006-08-31,2.064,2006,8
2006-09-30,2.468,2006,9
2006-10-31,-2.911,2006,10
2006-11-30,-14.550,2006,11
2006-12-31,-19.210,2006,12
2007-01-31,-26.730,2007,1
2007-02-28,-22.216,2007,2
2007-03-31,-24.679,2007,3
2007-04-30,-11.432,2007,4
2007-05-31,-6.757,2007,5
2007-06-30,2.425,2007,6
2007-07-31,5.930,2007,7
2007-08-31,6.301,2007,8
2007-09-30,3.500,2007,9
2007-10-31,-4.267,2007,10
2007-11-30,-9.875,2007,11
2007-12-31,-17.551,2007,12
2008-01-31,-26.098,2008,1
2008-02-29,-24.883,2008,2
2008-03-31,-25.329,2008,3
2008-04-30,-11.338,2008,4
2008-05-31,-4.548,2008,5
2008-06-30,3.249,2008,6
2008-07-31,4.670,2008,7
2008-08-31,3.005,2008,8
2008-09-30,1.021,2008,9
2008-10-31,-5.184,2008,10
2008-11-30,-15.503,2008,11
2008-12-31,-17.357,2008,12
2009-01-31,-25.203,2009,1
2009-02-28,-26.339,2009,2
2009-03-31,-24.908,2009,3
2009-04-30,-14.352,2009,4
2009-05-31,-3.145,2009,5
2009-06-30,2.539,2009,6
2009-07-31,5.917,2009,7
2009-08-31,4.946,2009,8
2009-09-30,1.459,2009,9
2009-10-31,-3.249,2009,10
2009-11-30,-16.889,2009,11
2009-12-31,-18.626,2009,12
2010-01-31,-26.567,2010,1
2010-02-28,-22.311,2010,2
2010-03-31,-22.403,2010,3
2010-04-30,-11.261,2010,4
2010-05-31,-5.539,2010,5
2010-06-30,1.356,2010,6
2010-07-31,5.018,2010,7
2010-08-31,5.426,2010,8
2010-09-30,3.364,2010,9
2010-10-31,-4.544,2010,10
2010-11-30,-11.554,2010,11
2010-12-31,-22.966,2010,12
2011-01-31,-22.327,2011,1
2011-02-28,-19.686,2011,2
2011-03-31,-19.468,2011,3
2011-04-30,-16.653,2011,4
2011-05-31,-4.200,2011,5
2011-06-30,2.192,2011,6
2011-07-31,4.796,2011,7
2011-08-31,5.172,2011,8
2011-09-30,2.844,2011,9
2011-10-31,-4.063,2011,10
2011-11-30,-17.639,2011,11
2011-12-31,-22.731,2011,12
2012-01-31,-27.226,2012,1
2012-02-29,-23.524,2012,2
2012-03-31,-27.162,2012,3
2012-04-30,-13.543,2012,4
2012-05-31,-4.818,2012,5
2012-06-30,3.343,2012,6
2012-07-31,6.207,2012,7
2012-08-31,7.041,2012,8
2012-09-30,1.502,2012,9
2012-10-31,-1.893,2012,10
2012-11-30,-14.627,2012,11
2012-12-31,-22.501,2012,12
2013-01-31,-22.076,2013,1
2013-02-28,-27.542,2013,2
2013-03-31,-20.322,2013,3
2013-04-30,-16.173,2013,4
2013-05-31,-4.839,2013,5
2013-06-30,3.542,2013,6
2013-07-31,6.059,2013,7
2013-08-31,3.696,2013,8
2013-09-30,-0.467,2013,9
2013-10-31,-3.253,2013,10
2013-11-30,-12.985,2013,11
2013-12-31,-18.419,2013,12
2014-01-31,-20.167,2014,1
2014-02-28,-21.475,2014,2
2014-03-31,-19.445,2014,3
2014-04-30,-14.296,2014,4
2014-05-31,-2.725,2014,5
2014-06-30,1.159,2014,6
2014-07-31,3.490,2014,7
2014-08-31,3.433,2014,8
2014-09-30,0.991,2014,9
2014-10-31,-5.326,2014,10
2014-11-30,-11.729,2014,11
2014-12-31,-21.877,2014,12
2015-01-31,-21.688,2015,1
2015-02-28,-20.289,2015,2
2015-03-31,-22.484,2015,3
2015-04-30,-12.658,2015,4
2015-05-31,-1.333,2015,5
2015-06-30,4.603,2015,6
2015-07-31,4.788,2015,7
2015-08-31,3.673,2015,8
2015-09-30,-0.266,2015,9
2015-10-31,-5.325,2015,10
2015-11-30,-15.344,2015,11
2015-12-31,-23.386,2015,12
2016-01-31,-17.334,2016,1
2016-02-29,-18.822,2016,2
2016-03-31,-20.730,2016,3
2016-04-30,-11.443,2016,4
2016-05-31,-1.309,2016,5
2016-06-30,3.419,2016,6
2016-07-31,5.778,2016,7
2016-08-31,3.963,2016,8
2016-09-30,0.845,2016,9
2016-10-31,-1.317,2016,10
2016-11-30,-10.003,2016,11
2016-12-31,-18.016,2016,12
2017-01-31,-17.542,2017,1
2017-02-28,-21.501,2017,2
2017-03-31,-20.890,2017,3
2017-04-30,-13.657,2017,4
2017-05-31,-3.878,2017,5
2017-06-30,2.067,2017,6
2017-07-31,7.328,2017,7
2017-08-31,4.649,2017,8
2017-09-30,2.049,2017,9
2017-10-31,-3.362,2017,10
2017-11-30,-8.135,2017,11
2017-12-31,-14.843,2017,12
2018-01-31,-21.136,2018,1
2018-02-28,-15.352,2018,2
2018-03-31,-17.366,2018,3
2018-04-30,-13.712,2018,4
2018-05-31,-5.369,2018,5
2018-06-30,1.029,2018,6
2018-07-31,6.123,2018,7
2018-08-31,2.519,2018,8
2018-09-30,2.027,2018,9
2018-10-31,-2.552,2018,10
2018-11-30,-12.670,2018,11
2018-12-31,-21.352,2018,12
2019-01-31,-23.055,2019,1
2019-02-28,-15.475,2019,2
2019-03-31,-13.796,2019,3
2019-04-30,-13.416,2019,4
2019-05-31,-2.198,2019,5
2019-06-30,2.534,2019,6
2019-07-31,8.191,2019,7
2019-08-31,5.517,2019,8
2019-09-30,5.001,2019,9
2019-10-31,-0.688,2019,10
2019-11-30,-7.943,2019,11
2019-12-31,-19.066,2019,12
2020-01-31,-25.723,2020,1
2020-02-29,-32.272,2020,2
2020-03-31,-20.578,2020,3
2020-04-30,-12.025,2020,4
2020-05-31,-4.465,2020,5
2020-06-30,2.530,2020,6
2020-07-31,3.273,2020,7
2020-08-31,5.003,2020,8
2020-09-30,1.705,2020,9
2020-10-31,-3.146,2020,10
2020-11-30,-8.775,2020,11
2020-12-31,-20.081,2020,12
