Time,precip_mm_ERA5_12km,BARROW AIRPORT,month
1970-09-25,0.929,0.254,Sep
1970-09-26,0.470,0.254,Sep
1970-09-27,0.561,0.254,Sep
1970-09-28,1.702,0.254,Sep
1970-09-29,0.599,0.254,Sep
1970-09-30,0.550,0.254,Sep
1970-10-01,2.219,0.254,Oct
1970-10-02,0.964,0.254,Oct
1970-10-03,0.220,0.254,Oct
1970-10-04,0.179,0.254,Oct
1970-10-05,0.413,0.254,Oct
1970-10-06,0.207,0.762,Oct
1970-10-07,0.015,0.254,Oct
1970-10-08,0.028,0.000,Oct
1970-10-09,0.340,0.254,Oct
1970-10-10,2.132,0.254,Oct
1970-10-11,0.902,0.254,Oct
1970-10-12,0.045,0.254,Oct
1970-10-13,0.120,0.254,Oct
1970-10-14,0.148,0.254,Oct
1970-10-15,0.106,0.254,Oct
1970-10-16,0.032,0.254,Oct
1970-10-17,0.026,0.000,Oct
1970-10-18,0.095,0.254,Oct
1970-10-19,1.071,0.254,Oct
1970-10-20,0.206,0.254,Oct
1970-10-21,1.841,0.254,Oct
1970-10-22,2.520,0.762,Oct
1970-10-23,0.883,0.254,Oct
1970-10-24,0.119,0.254,Oct
1970-10-25,0.155,0.000,Oct
1970-10-26,0.352,0.762,Oct
1970-10-27,0.136,0.254,Oct
1970-10-28,2.564,0.000,Oct
1970-10-29,0.176,0.254,Oct
1970-10-30,2.858,0.254,Oct
1970-10-31,1.958,0.762,Oct
1970-11-01,5.097,0.254,Nov
1970-11-02,0.017,0.000,Nov
1970-11-03,0.020,0.254,Nov
1970-11-04,0.367,0.254,Nov
1970-11-05,0.124,0.000,Nov
1970-11-06,0.044,0.000,Nov
1970-11-07,0.134,0.254,Nov
1970-11-08,0.029,0.254,Nov
1970-11-09,0.006,0.000,Nov
1970-11-10,0.022,0.000,Nov
1970-11-11,0.008,0.254,Nov
1970-11-12,0.710,0.254,Nov
1970-11-13,0.034,0.000,Nov
1970-11-14,0.048,0.000,Nov
1970-11-15,0.001,0.000,Nov
1970-11-16,0.011,4.064,Nov
1970-11-17,9.844,5.588,Nov
1970-11-18,0.053,0.254,Nov
1970-11-19,0.025,0.000,Nov
1970-11-20,1.469,0.254,Nov
1970-11-21,0.068,0.000,Nov
1970-11-22,0.013,0.000,Nov
1970-11-23,0.035,0.000,Nov
1970-11-24,0.078,0.000,Nov
1970-11-25,0.049,0.000,Nov
1970-11-26,0.020,0.254,Nov
1970-11-27,13.488,2.286,Nov
1970-11-28,1.746,0.254,Nov
1970-11-29,0.222,0.254,Nov
1970-11-30,0.046,0.000,Nov
1970-12-01,0.059,0.000,Dec
1970-12-02,0.250,0.000,Dec
1970-12-03,0.027,0.000,Dec
1970-12-04,0.540,0.508,Dec
1970-12-05,0.008,0.000,Dec
1970-12-06,0.020,0.000,Dec
1970-12-07,0.021,0.000,Dec
1970-12-08,0.178,0.254,Dec
1970-12-09,0.191,0.254,Dec
1970-12-10,0.068,0.254,Dec
1970-12-11,0.261,0.254,Dec
1970-12-12,0.087,0.254,Dec
1970-12-13,0.110,0.000,Dec
1970-12-14,0.064,0.000,Dec
1970-12-15,0.020,0.000,Dec
1970-12-16,0.600,0.254,Dec
1970-12-17,0.190,0.254,Dec
1970-12-18,1.254,0.254,Dec
1970-12-19,0.612,0.508,Dec
1970-12-20,1.090,0.254,Dec
1970-12-21,2.948,0.254,Dec
1970-12-22,0.428,0.762,Dec
1970-12-23,0.029,0.254,Dec
1970-12-24,1.117,0.254,Dec
1970-12-25,0.297,0.254,Dec
1970-12-26,1.039,0.254,Dec
1970-12-27,0.057,0.000,Dec
1970-12-28,0.478,0.254,Dec
1970-12-29,0.015,0.000,Dec
1970-12-30,1.605,0.254,Dec
1970-12-31,1.317,0.254,Dec
1971-01-01,1.179,0.000,Jan
1971-01-02,0.205,0.000,Jan
1971-01-03,0.084,0.000,Jan
1971-01-04,5.647,2.032,Jan
1971-01-05,0.750,0.254,Jan
1971-01-06,0.446,0.254,Jan
1971-01-07,0.718,0.254,Jan
1971-01-08,0.037,0.000,Jan
1971-01-09,0.010,0.000,Jan
1971-01-10,0.998,1.778,Jan
1971-01-11,0.480,0.254,Jan
1971-01-12,0.084,0.254,Jan
1971-01-13,0.064,0.000,Jan
1971-01-14,0.035,0.000,Jan
1971-01-15,0.151,0.000,Jan
1971-01-16,0.187,0.000,Jan
1971-01-17,0.022,0.000,Jan
1971-01-18,0.110,0.254,Jan
1971-01-19,2.882,0.254,Jan
1971-01-20,0.060,0.000,Jan
1971-01-21,0.368,0.254,Jan
1971-01-22,0.224,0.254,Jan
1971-01-23,0.054,0.254,Jan
1971-01-24,0.501,0.254,Jan
1971-01-25,0.040,0.000,Jan
1971-01-26,0.031,0.000,Jan
1971-01-27,0.240,0.254,Jan
1971-01-28,0.027,0.000,Jan
1971-01-29,2.342,0.254,Jan
1971-01-30,0.243,0.000,Jan
1971-01-31,0.064,0.000,Jan
1971-02-01,0.069,0.000,Feb
1971-02-02,0.086,0.254,Feb
1971-02-03,0.049,0.000,Feb
1971-02-04,0.289,0.254,Feb
1971-02-05,0.109,0.254,Feb
1971-02-06,0.185,0.254,Feb
1971-02-07,0.078,0.254,Feb
1971-02-08,0.046,0.254,Feb
1971-02-09,0.022,0.254,Feb
1971-02-10,0.129,0.254,Feb
1971-02-11,0.286,0.254,Feb
1971-02-12,0.744,0.254,Feb
1971-02-13,0.575,0.254,Feb
1971-02-14,0.547,0.254,Feb
1971-02-15,0.425,0.254,Feb
1971-02-16,0.053,0.254,Feb
1971-02-17,0.037,0.254,Feb
1971-02-18,0.031,0.254,Feb
1971-02-19,3.585,0.762,Feb
1971-02-20,1.301,0.254,Feb
1971-02-21,2.630,0.254,Feb
1971-02-22,4.234,2.540,Feb
1971-02-23,4.715,0.000,Feb
1971-02-24,1.086,0.000,Feb
1971-02-25,0.273,0.254,Feb
1971-02-26,0.159,0.254,Feb
1971-02-27,0.902,0.254,Feb
1971-02-28,0.556,0.254,Feb
1971-03-01,0.078,0.254,Mar
1971-03-02,0.077,0.254,Mar
1971-03-03,0.439,0.254,Mar
1971-03-04,0.430,0.254,Mar
1971-03-05,0.063,0.000,Mar
1971-03-06,0.115,0.254,Mar
1971-03-07,0.079,0.254,Mar
1971-03-08,3.883,1.778,Mar
1971-03-09,0.134,0.000,Mar
1971-03-10,1.010,0.254,Mar
1971-03-11,0.032,0.254,Mar
1971-03-12,0.549,0.254,Mar
1971-03-13,1.142,0.762,Mar
1971-03-14,1.977,1.524,Mar
1971-03-15,0.023,0.000,Mar
1971-03-16,0.046,0.000,Mar
1971-03-17,0.010,0.000,Mar
1971-03-18,0.000,0.000,Mar
1971-03-19,0.000,0.000,Mar
1971-03-20,0.000,0.000,Mar
1971-03-21,0.000,0.254,Mar
1971-03-22,0.001,0.254,Mar
1971-03-23,0.001,0.000,Mar
1971-03-24,0.000,0.000,Mar
1971-03-25,0.000,0.000,Mar
1971-03-26,0.005,0.254,Mar
1971-03-27,0.035,0.254,Mar
1971-03-28,0.003,0.254,Mar
1971-03-29,0.001,0.000,Mar
1971-03-30,0.048,0.254,Mar
1971-03-31,0.093,0.254,Mar
1971-04-01,0.052,0.254,Apr
1971-04-02,0.148,0.000,Apr
1971-04-03,0.045,0.254,Apr
1971-04-04,0.073,0.000,Apr
1971-04-05,0.007,0.000,Apr
1971-04-06,0.045,0.254,Apr
1971-04-07,0.018,0.000,Apr
1971-04-08,0.539,0.254,Apr
1971-04-09,0.150,0.254,Apr
1971-04-10,0.026,0.000,Apr
1971-04-11,0.031,0.254,Apr
1971-04-12,0.013,0.254,Apr
1971-04-13,0.731,0.254,Apr
1971-04-14,0.628,0.254,Apr
1971-04-15,0.206,0.254,Apr
1971-04-16,0.052,0.254,Apr
1971-04-17,0.006,0.000,Apr
1971-04-18,0.124,0.254,Apr
1971-04-19,0.558,0.254,Apr
1971-04-20,0.288,0.254,Apr
1971-04-21,0.095,0.254,Apr
1971-04-22,0.015,0.000,Apr
1971-04-23,0.059,0.254,Apr
1971-04-24,0.085,0.254,Apr
1971-04-25,0.114,0.254,Apr
1971-04-26,0.091,0.254,Apr
1971-04-27,0.841,0.508,Apr
1971-04-28,0.578,0.254,Apr
1971-04-29,0.232,0.254,Apr
1971-04-30,0.011,0.254,Apr
1971-05-01,0.391,0.254,May
1971-05-02,0.159,0.254,May
1971-05-03,0.085,0.254,May
1971-05-04,0.957,0.254,May
1971-05-05,0.511,0.254,May
1971-05-06,0.012,0.000,May
1971-05-07,0.000,0.000,May
1971-05-08,0.012,0.254,May
1971-05-09,1.017,0.508,May
1971-05-10,0.175,0.254,May
1971-05-11,0.244,0.254,May
1971-05-12,2.466,0.254,May
1971-05-13,1.932,2.540,May
1971-05-14,0.254,0.254,May
1971-05-15,0.036,0.000,May
1971-05-16,0.690,0.508,May
1971-05-17,0.057,0.000,May
1971-05-18,0.093,0.254,May
1971-05-19,0.009,0.254,May
1971-05-20,1.054,0.254,May
1971-05-21,0.087,1.016,May
1971-05-22,0.096,0.254,May
1971-05-23,0.416,0.254,May
1971-05-24,0.336,0.254,May
1971-05-25,0.070,0.254,May
1971-05-26,0.422,0.254,May
1971-05-27,0.051,0.254,May
1971-05-28,0.059,0.254,May
1971-05-29,0.040,0.254,May
1971-05-30,0.290,1.016,May
1971-05-31,0.399,0.254,May
1971-06-01,3.870,2.286,Jun
1971-06-02,0.472,0.254,Jun
1971-06-03,0.001,0.254,Jun
1971-06-04,0.175,0.000,Jun
1971-06-05,0.353,0.000,Jun
1971-06-06,0.274,0.000,Jun
1971-06-07,0.264,0.000,Jun
1971-06-08,0.300,0.000,Jun
1971-06-09,0.083,0.000,Jun
1971-06-10,0.000,0.254,Jun
1971-06-11,0.000,0.254,Jun
1971-06-12,0.007,0.508,Jun
1971-06-13,0.036,0.254,Jun
1971-06-14,0.186,0.254,Jun
1971-06-15,2.927,0.254,Jun
1971-06-16,0.457,0.000,Jun
1971-06-17,1.567,0.254,Jun
1971-06-18,7.469,0.000,Jun
1971-06-19,0.378,0.254,Jun
1971-06-20,0.342,0.000,Jun
1971-06-21,0.292,0.000,Jun
1971-06-22,0.436,0.000,Jun
1971-06-23,0.289,0.000,Jun
1971-06-24,0.542,0.000,Jun
1971-06-25,0.818,0.000,Jun
1971-06-26,0.486,0.000,Jun
1971-06-27,0.322,0.000,Jun
1971-06-28,0.307,0.254,Jun
1971-06-29,0.428,0.254,Jun
1971-06-30,0.773,0.254,Jun
1971-07-01,0.285,0.000,Jul
1971-07-02,0.529,0.000,Jul
1971-07-03,0.226,0.000,Jul
1971-07-04,0.121,0.000,Jul
1971-07-05,0.417,0.000,Jul
1971-07-06,0.323,0.000,Jul
1971-07-07,0.412,0.000,Jul
1971-07-08,0.300,0.000,Jul
1971-07-09,3.352,8.128,Jul
1971-07-10,0.768,0.254,Jul
1971-07-11,0.137,0.254,Jul
1971-07-12,0.224,0.254,Jul
1971-07-13,3.312,2.540,Jul
1971-07-14,7.190,7.874,Jul
1971-07-15,1.684,0.762,Jul
1971-07-16,0.141,0.000,Jul
1971-07-17,0.253,0.000,Jul
1971-07-18,0.291,0.000,Jul
1971-07-19,0.565,0.254,Jul
1971-07-20,0.265,0.000,Jul
1971-07-21,0.506,0.508,Jul
1971-07-22,0.486,0.254,Jul
1971-07-23,0.404,0.000,Jul
1971-07-24,0.453,0.000,Jul
1971-07-25,0.366,0.254,Jul
1971-07-26,0.827,0.254,Jul
1971-07-27,0.039,3.810,Jul
1971-07-28,1.923,0.254,Jul
1971-07-29,3.428,0.508,Jul
1971-07-30,13.342,0.762,Jul
1971-07-31,0.263,0.000,Jul
1971-08-01,0.093,0.254,Aug
1971-08-02,0.076,0.254,Aug
1971-08-03,0.292,0.254,Aug
1971-08-04,0.058,0.254,Aug
1971-08-05,0.028,0.000,Aug
1971-08-06,0.003,0.254,Aug
1971-08-07,0.866,0.508,Aug
1971-08-08,0.021,0.254,Aug
1971-08-09,0.009,0.254,Aug
1971-08-10,0.002,0.254,Aug
1971-08-11,0.014,0.000,Aug
1971-08-12,0.028,0.000,Aug
1971-08-13,0.032,0.000,Aug
1971-08-14,0.112,0.000,Aug
1971-08-15,0.156,0.000,Aug
1971-08-16,0.179,0.254,Aug
1971-08-17,2.603,0.508,Aug
1971-08-18,6.486,2.286,Aug
1971-08-19,6.400,5.080,Aug
1971-08-20,0.285,0.254,Aug
1971-08-21,0.027,0.254,Aug
1971-08-22,0.000,0.000,Aug
1971-08-23,0.003,0.000,Aug
1971-08-24,0.000,0.254,Aug
1971-08-25,0.042,0.254,Aug
1971-08-26,0.199,0.254,Aug
1971-08-27,0.662,0.254,Aug
1971-08-28,0.078,0.254,Aug
1971-08-29,0.070,0.254,Aug
1971-08-30,0.002,0.254,Aug
1971-08-31,0.037,0.254,Aug
1971-09-01,0.004,0.254,Sep
1971-09-02,0.050,0.254,Sep
1971-09-03,0.058,0.254,Sep
1971-09-04,0.175,0.254,Sep
1971-09-05,0.169,0.254,Sep
1971-09-06,0.012,0.254,Sep
1971-09-07,0.004,0.254,Sep
1971-09-08,0.004,0.254,Sep
1971-09-09,0.032,0.254,Sep
1971-09-10,0.243,0.254,Sep
1971-09-11,0.005,0.254,Sep
1971-09-12,0.042,0.508,Sep
1971-09-13,0.473,0.508,Sep
1971-09-14,0.700,0.254,Sep
1971-09-15,0.581,0.000,Sep
1971-09-16,0.257,0.000,Sep
1971-09-17,0.729,0.762,Sep
1971-09-18,0.159,0.000,Sep
1971-09-19,0.056,0.254,Sep
1971-09-20,3.062,0.762,Sep
1971-09-21,0.650,0.254,Sep
1971-09-22,0.032,0.254,Sep
1971-09-23,0.600,0.000,Sep
1971-09-24,2.177,0.254,Sep
1971-09-25,1.364,0.254,Sep
1971-09-26,0.401,0.254,Sep
1971-09-27,0.286,0.254,Sep
1971-09-28,3.365,0.762,Sep
1971-09-29,0.097,0.762,Sep
1971-09-30,0.277,0.254,Sep
1971-10-01,1.843,3.556,Oct
1971-10-02,0.855,0.508,Oct
1971-10-03,1.217,0.254,Oct
1971-10-04,0.472,0.508,Oct
1971-10-05,0.004,0.000,Oct
1971-10-06,0.054,0.254,Oct
1971-10-07,0.029,0.254,Oct
1971-10-08,0.018,0.254,Oct
1971-10-09,0.007,0.254,Oct
1971-10-10,0.070,0.508,Oct
1971-10-11,0.356,0.508,Oct
1971-10-12,0.418,0.254,Oct
1971-10-13,0.179,0.254,Oct
1971-10-14,0.972,0.254,Oct
1971-10-15,0.121,0.000,Oct
1971-10-16,3.165,0.254,Oct
1971-10-17,1.325,0.254,Oct
1971-10-18,0.122,0.254,Oct
1971-10-19,0.446,0.254,Oct
1971-10-20,0.035,0.254,Oct
1971-10-21,0.049,0.254,Oct
1971-10-22,0.002,0.000,Oct
1971-10-23,0.000,0.000,Oct
1971-10-24,0.083,0.254,Oct
1971-10-25,2.129,0.000,Oct
1971-10-26,1.465,0.254,Oct
1971-10-27,0.861,0.000,Oct
1971-10-28,3.040,1.016,Oct
1971-10-29,2.426,1.524,Oct
1971-10-30,0.693,0.762,Oct
1971-10-31,1.736,0.254,Oct
1971-11-01,0.509,0.254,Nov
1971-11-02,1.844,0.254,Nov
1971-11-03,2.341,1.016,Nov
1971-11-04,0.044,0.254,Nov
1971-11-05,0.269,0.000,Nov
1971-11-06,0.911,0.000,Nov
1971-11-07,1.524,0.254,Nov
1971-11-08,0.191,0.254,Nov
1971-11-09,0.115,0.254,Nov
1971-11-10,1.006,0.254,Nov
1971-11-11,2.328,0.254,Nov
1971-11-12,1.687,2.286,Nov
1971-11-13,0.103,0.254,Nov
1971-11-14,0.144,0.762,Nov
1971-11-15,0.988,0.254,Nov
1971-11-16,0.015,0.254,Nov
1971-11-17,0.038,0.000,Nov
1971-11-18,0.201,0.254,Nov
1971-11-19,0.396,0.254,Nov
1971-11-20,0.476,0.254,Nov
1971-11-21,0.927,0.254,Nov
1971-11-22,0.742,0.254,Nov
1971-11-23,0.342,0.254,Nov
1971-11-24,0.065,0.254,Nov
1971-11-25,0.000,0.254,Nov
1971-11-26,0.938,0.254,Nov
1971-11-27,0.628,0.254,Nov
1971-11-28,0.602,0.254,Nov
1971-11-29,0.822,0.254,Nov
1971-11-30,0.482,0.254,Nov
1971-12-01,0.737,0.254,Dec
1971-12-02,0.334,0.254,Dec
1971-12-03,0.270,0.254,Dec
1971-12-04,0.048,0.254,Dec
1971-12-05,0.101,0.000,Dec
1971-12-06,0.139,0.254,Dec
1971-12-07,0.081,0.254,Dec
1971-12-08,0.095,0.254,Dec
1971-12-09,0.022,0.000,Dec
1971-12-10,0.007,0.254,Dec
1971-12-11,0.000,0.254,Dec
1971-12-12,0.000,0.000,Dec
1971-12-13,0.002,0.254,Dec
1971-12-14,0.014,0.254,Dec
1971-12-15,0.078,0.254,Dec
1971-12-16,0.074,0.254,Dec
1971-12-17,0.005,0.254,Dec
1971-12-18,1.215,0.254,Dec
1971-12-19,0.491,0.000,Dec
1971-12-20,0.187,0.254,Dec
1971-12-21,0.018,0.254,Dec
1971-12-22,1.342,0.508,Dec
1971-12-23,3.980,0.508,Dec
1971-12-24,0.037,0.254,Dec
1971-12-25,0.351,2.540,Dec
1971-12-26,0.057,0.254,Dec
1971-12-27,0.144,0.254,Dec
1971-12-28,1.370,0.254,Dec
1971-12-29,2.321,0.762,Dec
1971-12-30,0.666,0.254,Dec
1971-12-31,0.016,0.254,Dec
1972-01-01,0.389,0.254,Jan
1972-01-02,0.048,0.254,Jan
1972-01-03,0.019,0.254,Jan
1972-01-04,0.005,0.254,Jan
1972-01-05,0.023,0.254,Jan
1972-01-06,0.120,0.254,Jan
1972-01-07,0.054,0.254,Jan
1972-01-08,0.903,0.254,Jan
1972-01-09,0.429,0.254,Jan
1972-01-10,1.407,0.254,Jan
