,precip_mm_ERA5_4km,FAIRBANKS INTL AP,month
1951-04-18,0.009,0.000,Apr
1951-04-19,0.036,0.000,Apr
1951-04-20,0.000,0.000,Apr
1951-04-21,0.409,0.000,Apr
1951-04-22,0.536,0.000,Apr
1951-04-23,0.000,0.000,Apr
1951-04-24,0.000,0.000,Apr
1951-04-25,1.658,0.508,Apr
1951-04-26,0.397,0.000,Apr
1951-04-27,0.009,0.000,Apr
1951-04-28,0.261,0.254,Apr
1951-04-29,0.053,0.254,Apr
1951-04-30,0.788,0.508,Apr
1951-05-01,0.251,0.254,May
1951-05-02,0.000,0.000,May
1951-05-03,0.000,0.000,May
1951-05-04,0.000,0.000,May
1951-05-05,0.000,0.000,May
1951-05-06,0.000,0.000,May
1951-05-07,0.000,0.000,May
1951-05-08,0.007,0.000,May
1951-05-09,0.026,0.000,May
1951-05-10,0.000,0.000,May
1951-05-11,0.000,0.000,May
1951-05-12,0.000,0.000,May
1951-05-13,0.929,0.000,May
1951-05-14,0.572,0.254,May
1951-05-15,0.772,0.254,May
1951-05-16,0.170,3.302,May
1951-05-17,1.999,0.254,May
1951-05-18,0.937,0.254,May
1951-05-19,0.079,0.254,May
1951-05-20,0.115,0.254,May
1951-05-21,2.915,0.254,May
1951-05-22,0.040,0.000,May
1951-05-23,0.796,0.000,May
1951-05-24,1.126,4.826,May
1951-05-25,13.902,1.270,May
1951-05-26,2.580,0.508,May
1951-05-27,0.622,0.762,May
1951-05-28,3.387,0.254,May
1951-05-29,0.143,0.254,May
1951-05-30,0.000,0.000,May
1951-05-31,0.002,0.000,May
1951-06-01,0.386,0.254,Jun
1951-06-02,1.285,0.254,Jun
1951-06-03,0.356,0.000,Jun
1951-06-04,0.316,0.254,Jun
1951-06-05,0.150,0.000,Jun
1951-06-06,0.007,0.000,Jun
1951-06-07,0.035,0.000,Jun
1951-06-08,0.000,0.000,Jun
1951-06-09,0.592,0.000,Jun
1951-06-10,1.247,0.254,Jun
1951-06-11,2.703,0.254,Jun
1951-06-12,0.000,5.080,Jun
1951-06-13,0.734,2.286,Jun
1951-06-14,2.974,0.254,Jun
1951-06-15,1.736,3.556,Jun
1951-06-16,0.091,0.254,Jun
1951-06-17,0.986,0.254,Jun
1951-06-18,0.000,2.032,Jun
1951-06-19,0.388,0.254,Jun
1951-06-20,0.491,0.254,Jun
1951-06-21,0.058,0.000,Jun
1951-06-22,0.038,0.000,Jun
1951-06-23,11.398,8.128,Jun
1951-06-24,0.041,0.254,Jun
1951-06-25,0.034,0.000,Jun
1951-06-26,0.010,0.000,Jun
1951-06-27,0.000,0.000,Jun
1951-06-28,0.065,0.254,Jun
1951-06-29,1.988,9.652,Jun
1951-06-30,0.018,0.508,Jun
1951-07-01,21.180,1.778,Jul
1951-07-02,1.717,0.254,Jul
1951-07-03,0.926,0.762,Jul
1951-07-04,0.007,0.254,Jul
1951-07-05,2.039,13.208,Jul
1951-07-06,0.681,0.508,Jul
1951-07-07,0.002,0.000,Jul
1951-07-08,0.029,0.000,Jul
1951-07-09,2.065,0.254,Jul
1951-07-10,0.000,0.000,Jul
1951-07-11,0.000,0.000,Jul
1951-07-12,0.000,0.000,Jul
1951-07-13,0.000,0.000,Jul
1951-07-14,0.000,0.000,Jul
1951-07-15,0.000,0.000,Jul
1951-07-16,0.469,2.286,Jul
1951-07-17,6.322,2.794,Jul
1951-07-18,0.006,0.254,Jul
1951-07-19,2.969,1.016,Jul
1951-07-20,1.130,0.254,Jul
1951-07-21,0.549,2.032,Jul
1951-07-22,1.193,0.254,Jul
1951-07-23,0.000,0.000,Jul
1951-07-24,5.616,3.302,Jul
1951-07-25,0.214,4.318,Jul
1951-07-26,3.944,7.366,Jul
1951-07-27,0.038,0.254,Jul
1951-07-28,3.459,0.762,Jul
1951-07-29,2.682,4.318,Jul
1951-07-30,1.624,0.254,Jul
1951-07-31,0.006,0.000,Jul
1951-08-01,0.001,0.000,Aug
1951-08-02,0.024,0.254,Aug
1951-08-03,11.551,2.286,Aug
1951-08-04,1.444,0.000,Aug
1951-08-05,0.023,0.254,Aug
1951-08-06,0.005,0.000,Aug
1951-08-07,0.601,0.254,Aug
1951-08-08,0.566,3.048,Aug
1951-08-09,1.167,0.000,Aug
1951-08-10,0.000,0.000,Aug
1951-08-11,0.044,0.000,Aug
1951-08-12,0.001,0.000,Aug
1951-08-13,1.789,0.000,Aug
1951-08-14,0.005,0.000,Aug
1951-08-15,2.567,0.254,Aug
1951-08-16,0.004,0.254,Aug
1951-08-17,0.054,0.254,Aug
1951-08-18,0.816,0.254,Aug
1951-08-19,0.111,0.000,Aug
1951-08-20,3.072,0.508,Aug
1951-08-21,1.965,0.254,Aug
1951-08-22,5.728,2.794,Aug
1951-08-23,6.007,5.588,Aug
1951-08-24,1.787,4.318,Aug
1951-08-25,0.644,0.254,Aug
1951-08-26,7.128,3.810,Aug
1951-08-27,13.913,20.320,Aug
1951-08-28,2.630,0.000,Aug
1951-08-29,5.100,3.810,Aug
1951-08-30,3.157,2.540,Aug
1951-08-31,0.006,0.254,Aug
1951-09-01,0.194,0.254,Sep
1951-09-02,0.601,0.254,Sep
1951-09-03,1.985,0.762,Sep
1951-09-04,2.792,0.000,Sep
1951-09-05,0.201,0.000,Sep
1951-09-06,0.054,0.000,Sep
1951-09-07,0.042,0.000,Sep
1951-09-08,1.076,0.000,Sep
1951-09-09,2.484,12.954,Sep
1951-09-10,0.013,0.000,Sep
1951-09-11,8.493,1.016,Sep
1951-09-12,0.000,0.000,Sep
1951-09-13,0.250,0.254,Sep
1951-09-14,0.000,0.000,Sep
1951-09-15,0.000,0.000,Sep
1951-09-16,4.248,1.270,Sep
1951-09-17,8.474,0.254,Sep
1951-09-18,0.359,2.286,Sep
1951-09-19,1.186,0.000,Sep
1951-09-20,5.836,0.000,Sep
1951-09-21,2.562,0.254,Sep
1951-09-22,0.918,0.254,Sep
1951-09-23,0.056,0.000,Sep
1951-09-24,0.000,0.000,Sep
1951-09-25,0.140,0.000,Sep
1951-09-26,0.026,0.000,Sep
1951-09-27,0.007,0.000,Sep
1951-09-28,0.196,0.000,Sep
1951-09-29,2.207,0.254,Sep
1951-09-30,0.017,0.254,Sep
1951-10-01,0.197,5.080,Oct
1951-10-02,1.722,1.270,Oct
1951-10-03,0.822,0.254,Oct
1951-10-04,0.013,0.000,Oct
1951-10-05,4.890,2.540,Oct
1951-10-06,3.256,0.254,Oct
1951-10-07,0.679,0.254,Oct
1951-10-08,0.742,0.254,Oct
1951-10-09,0.256,0.254,Oct
1951-10-10,0.001,0.000,Oct
1951-10-11,3.053,1.270,Oct
1951-10-12,0.579,0.254,Oct
1951-10-13,0.000,0.000,Oct
1951-10-14,0.000,0.000,Oct
1951-10-15,0.026,0.000,Oct
1951-10-16,0.000,0.000,Oct
1951-10-17,0.000,0.000,Oct
1951-10-18,0.000,0.000,Oct
1951-10-19,0.000,0.000,Oct
1951-10-20,0.000,0.000,Oct
1951-10-21,0.000,0.000,Oct
1951-10-22,0.000,0.000,Oct
1951-10-23,0.000,0.000,Oct
1951-10-24,0.175,0.000,Oct
1951-10-25,0.688,0.000,Oct
1951-10-26,0.036,0.254,Oct
1951-10-27,3.712,1.524,Oct
1951-10-28,0.062,0.254,Oct
1951-10-29,0.003,0.254,Oct
1951-10-30,0.000,0.000,Oct
1951-10-31,1.042,0.000,Oct
1951-11-01,1.295,0.254,Nov
1951-11-02,1.867,0.254,Nov
1951-11-03,0.110,0.000,Nov
1951-11-04,0.049,0.000,Nov
1951-11-05,0.033,0.000,Nov
1951-11-06,1.387,0.254,Nov
1951-11-07,2.323,0.254,Nov
1951-11-08,0.232,0.254,Nov
1951-11-09,0.234,0.254,Nov
1951-11-10,0.002,0.000,Nov
1951-11-11,0.405,1.270,Nov
1951-11-12,1.618,2.540,Nov
1951-11-13,1.267,1.270,Nov
1951-11-14,2.033,1.016,Nov
1951-11-15,0.217,0.000,Nov
1951-11-16,1.642,0.508,Nov
1951-11-17,0.326,0.508,Nov
1951-11-18,0.578,0.508,Nov
1951-11-19,0.023,0.254,Nov
1951-11-20,0.212,0.254,Nov
1951-11-21,2.997,2.286,Nov
1951-11-22,4.906,2.286,Nov
1951-11-23,1.248,1.524,Nov
1951-11-24,0.028,0.000,Nov
1951-11-25,0.000,0.000,Nov
1951-11-26,0.625,2.032,Nov
1951-11-27,0.917,0.762,Nov
1951-11-28,0.002,0.254,Nov
1951-11-29,0.000,0.254,Nov
1951-11-30,0.147,0.254,Nov
1951-12-01,1.164,1.016,Dec
1951-12-02,1.246,1.016,Dec
1951-12-03,2.530,0.508,Dec
1951-12-04,1.712,0.254,Dec
1951-12-05,1.280,0.254,Dec
1951-12-06,0.411,0.254,Dec
1951-12-07,0.000,0.000,Dec
1951-12-08,0.000,0.254,Dec
1951-12-09,0.366,0.254,Dec
1951-12-10,0.370,0.254,Dec
1951-12-11,3.724,1.270,Dec
1951-12-12,0.492,0.508,Dec
1951-12-13,0.000,0.000,Dec
1951-12-14,1.120,1.524,Dec
1951-12-15,0.023,0.254,Dec
1951-12-16,0.005,0.254,Dec
1951-12-17,0.000,0.254,Dec
1951-12-18,0.071,1.524,Dec
1951-12-19,0.927,2.540,Dec
1951-12-20,1.150,2.286,Dec
1951-12-21,1.372,0.254,Dec
1951-12-22,3.188,0.254,Dec
1951-12-23,5.184,6.350,Dec
1951-12-24,1.014,0.508,Dec
1951-12-25,0.020,0.254,Dec
1951-12-26,0.830,0.254,Dec
1951-12-27,3.322,2.540,Dec
1951-12-28,0.000,0.000,Dec
1951-12-29,1.417,5.588,Dec
1951-12-30,8.386,4.826,Dec
1951-12-31,0.246,0.254,Dec
1952-01-01,0.215,2.286,Jan
1952-01-02,1.613,0.508,Jan
1952-01-03,0.323,0.000,Jan
1952-01-04,1.129,1.016,Jan
1952-01-05,0.000,0.254,Jan
1952-01-06,0.000,0.000,Jan
1952-01-07,0.000,0.000,Jan
1952-01-08,0.000,0.000,Jan
1952-01-09,0.000,0.000,Jan
1952-01-10,0.000,0.000,Jan
1952-01-11,6.622,6.096,Jan
1952-01-12,5.457,3.302,Jan
1952-01-13,0.039,0.254,Jan
1952-01-14,0.217,0.254,Jan
1952-01-15,0.074,0.508,Jan
1952-01-16,15.969,7.620,Jan
1952-01-17,0.282,0.254,Jan
1952-01-18,0.000,0.000,Jan
1952-01-19,0.000,0.000,Jan
1952-01-20,0.000,0.000,Jan
1952-01-21,0.000,0.000,Jan
1952-01-22,0.000,0.000,Jan
1952-01-23,0.000,0.000,Jan
1952-01-24,0.000,0.000,Jan
1952-01-25,0.000,0.000,Jan
1952-01-26,0.000,0.000,Jan
1952-01-27,0.000,0.000,Jan
1952-01-28,0.000,0.000,Jan
1952-01-29,0.004,0.254,Jan
1952-01-30,0.037,0.254,Jan
1952-01-31,0.005,0.254,Jan
1952-02-01,0.126,0.254,Feb
1952-02-02,0.247,0.254,Feb
1952-02-03,0.061,0.000,Feb
1952-02-04,0.125,0.254,Feb
1952-02-05,0.000,0.000,Feb
1952-02-06,0.000,0.000,Feb
1952-02-07,0.027,0.000,Feb
1952-02-08,0.006,0.000,Feb
1952-02-09,0.353,0.000,Feb
1952-02-10,2.606,1.524,Feb
1952-02-11,0.938,0.508,Feb
1952-02-12,0.078,0.254,Feb
1952-02-13,0.002,0.254,Feb
1952-02-14,0.193,0.254,Feb
1952-02-15,0.148,0.254,Feb
1952-02-16,0.000,0.254,Feb
1952-02-17,0.000,0.254,Feb
1952-02-18,0.005,0.254,Feb
1952-02-19,0.199,0.254,Feb
1952-02-20,2.264,0.254,Feb
1952-02-21,0.009,0.254,Feb
1952-02-22,0.012,0.000,Feb
1952-02-23,0.025,0.000,Feb
1952-02-24,0.032,0.254,Feb
1952-02-25,0.066,0.254,Feb
1952-02-26,0.156,0.254,Feb
1952-02-27,0.006,0.254,Feb
1952-02-28,2.385,0.762,Feb
1952-02-29,0.038,0.000,Feb
1952-03-01,0.478,0.254,Mar
1952-03-02,0.002,0.508,Mar
1952-03-03,0.000,0.000,Mar
1952-03-04,1.096,0.254,Mar
1952-03-05,0.188,1.016,Mar
1952-03-06,0.016,0.000,Mar
1952-03-07,0.336,0.000,Mar
1952-03-08,1.408,0.254,Mar
1952-03-09,0.346,0.254,Mar
1952-03-10,0.051,0.254,Mar
1952-03-11,0.001,0.000,Mar
1952-03-12,0.000,0.000,Mar
1952-03-13,0.026,0.000,Mar
1952-03-14,0.539,0.254,Mar
1952-03-15,2.284,5.334,Mar
1952-03-16,0.315,0.254,Mar
1952-03-17,0.048,0.000,Mar
1952-03-18,0.000,0.000,Mar
1952-03-19,0.000,0.000,Mar
1952-03-20,0.011,0.000,Mar
1952-03-21,0.003,0.000,Mar
1952-03-22,0.647,0.000,Mar
1952-03-23,0.140,0.000,Mar
1952-03-24,0.248,0.254,Mar
1952-03-25,0.073,0.254,Mar
1952-03-26,1.105,0.254,Mar
1952-03-27,2.299,0.762,Mar
1952-03-28,0.200,0.254,Mar
1952-03-29,1.033,0.254,Mar
1952-03-30,0.775,0.254,Mar
1952-03-31,0.038,0.000,Mar
1952-04-01,0.017,0.000,Apr
1952-04-02,0.098,0.000,Apr
1952-04-03,0.148,0.000,Apr
1952-04-04,0.186,0.000,Apr
1952-04-05,0.034,0.000,Apr
1952-04-06,0.004,0.000,Apr
1952-04-07,0.009,0.000,Apr
1952-04-08,0.049,0.000,Apr
1952-04-09,2.313,0.254,Apr
1952-04-10,5.743,1.016,Apr
1952-04-11,0.368,0.254,Apr
1952-04-12,0.113,0.000,Apr
1952-04-13,0.088,0.000,Apr
1952-04-14,0.002,0.000,Apr
1952-04-15,0.010,0.254,Apr
1952-04-16,0.584,0.000,Apr
1952-04-17,0.028,0.000,Apr
1952-04-18,0.045,0.000,Apr
1952-04-19,0.001,0.000,Apr
1952-04-20,0.062,0.000,Apr
1952-04-21,0.094,0.000,Apr
1952-04-22,0.045,0.000,Apr
1952-04-23,0.093,0.000,Apr
1952-04-24,0.019,0.000,Apr
1952-04-25,0.059,0.000,Apr
1952-04-26,0.012,0.000,Apr
1952-04-27,0.092,1.016,Apr
1952-04-28,0.122,2.540,Apr
1952-04-29,0.039,0.000,Apr
1952-04-30,0.001,0.000,Apr
1952-05-01,0.000,0.000,May
1952-05-02,1.140,1.016,May
1952-05-03,0.003,0.000,May
1952-05-04,2.216,0.254,May
1952-05-05,1.701,4.064,May
1952-05-06,0.210,0.254,May
1952-05-07,3.319,0.254,May
1952-05-08,0.017,0.254,May
1952-05-09,2.184,0.508,May
1952-05-10,0.015,0.000,May
1952-05-11,0.000,0.000,May
1952-05-12,0.007,0.000,May
1952-05-13,0.556,0.000,May
1952-05-14,0.700,0.254,May
1952-05-15,0.256,0.000,May
1952-05-16,0.043,0.000,May
1952-05-17,0.081,0.000,May
1952-05-18,0.202,0.000,May
1952-05-19,0.034,0.000,May
1952-05-20,1.085,1.016,May
1952-05-21,2.445,0.000,May
1952-05-22,0.006,0.000,May
1952-05-23,1.178,1.016,May
1952-05-24,1.681,0.000,May
1952-05-25,0.969,0.254,May
1952-05-26,0.085,0.000,May
1952-05-27,0.407,0.000,May
1952-05-28,0.478,0.254,May
1952-05-29,0.160,0.762,May
1952-05-30,1.915,0.254,May
1952-05-31,2.077,0.000,May
1952-06-01,0.084,0.000,Jun
1952-06-02,0.317,0.000,Jun
1952-06-03,0.073,0.000,Jun
1952-06-04,0.331,0.000,Jun
1952-06-05,0.236,3.810,Jun
1952-06-06,0.253,0.508,Jun
1952-06-07,0.011,0.000,Jun
1952-06-08,0.004,0.000,Jun
1952-06-09,2.313,0.254,Jun
1952-06-10,0.000,0.000,Jun
1952-06-11,0.787,0.508,Jun
1952-06-12,0.089,0.508,Jun
1952-06-13,2.274,1.778,Jun
1952-06-14,0.175,0.508,Jun
1952-06-15,4.583,2.032,Jun
1952-06-16,2.499,0.254,Jun
1952-06-17,6.194,0.254,Jun
1952-06-18,5.463,5.334,Jun
1952-06-19,0.253,3.048,Jun
1952-06-20,3.470,0.254,Jun
1952-06-21,0.003,0.254,Jun
1952-06-22,0.030,0.000,Jun
1952-06-23,11.165,0.000,Jun
1952-06-24,0.023,2.794,Jun
1952-06-25,0.331,0.254,Jun
1952-06-26,3.100,0.762,Jun
1952-06-27,0.001,0.508,Jun
1952-06-28,0.028,4.318,Jun
1952-06-29,0.118,0.254,Jun
1952-06-30,7.562,3.810,Jun
1952-07-01,11.928,1.778,Jul
1952-07-02,1.706,14.986,Jul
1952-07-03,3.462,0.254,Jul
1952-07-04,0.000,0.000,Jul
1952-07-05,1.352,0.000,Jul
1952-07-06,0.007,0.000,Jul
1952-07-07,0.063,0.000,Jul
1952-07-08,1.250,1.270,Jul
1952-07-09,0.002,0.254,Jul
1952-07-10,0.054,0.000,Jul
1952-07-11,1.426,0.254,Jul
1952-07-12,5.018,0.000,Jul
1952-07-13,0.746,0.508,Jul
1952-07-14,8.820,14.478,Jul
1952-07-15,6.176,1.524,Jul
1952-07-16,2.923,0.254,Jul
1952-07-17,0.241,0.254,Jul
1952-07-18,23.332,0.254,Jul
1952-07-19,0.174,0.000,Jul
1952-07-20,0.000,0.000,Jul
1952-07-21,0.217,0.000,Jul
1952-07-22,0.515,0.000,Jul
1952-07-23,0.668,2.286,Jul
1952-07-24,0.432,0.762,Jul
1952-07-25,6.244,1.524,Jul
1952-07-26,6.680,2.032,Jul
1952-07-27,4.199,1.016,Jul
1952-07-28,4.898,1.524,Jul
1952-07-29,2.828,0.254,Jul
1952-07-30,0.375,0.762,Jul
1952-07-31,0.762,0.508,Jul
1952-08-01,5.291,1.016,Aug
1952-08-02,2.112,0.000,Aug
1952-08-03,4.768,0.254,Aug
1952-08-04,1.075,0.000,Aug
1952-08-05,1.495,0.000,Aug
1952-08-06,0.000,0.000,Aug
1952-08-07,1.404,1.778,Aug
1952-08-08,0.082,0.000,Aug
1952-08-09,0.006,0.254,Aug
1952-08-10,0.020,0.508,Aug
1952-08-11,0.048,0.000,Aug
1952-08-12,1.232,0.254,Aug
1952-08-13,0.056,0.254,Aug
1952-08-14,0.322,6.096,Aug
1952-08-15,0.254,0.254,Aug
1952-08-16,0.000,0.000,Aug
1952-08-17,0.000,0.254,Aug
1952-08-18,1.537,0.254,Aug
1952-08-19,0.040,2.032,Aug
1952-08-20,0.000,0.254,Aug
1952-08-21,0.000,0.000,Aug
1952-08-22,0.000,0.000,Aug
1952-08-23,0.000,1.778,Aug
1952-08-24,1.845,1.270,Aug
1952-08-25,1.134,2.540,Aug
1952-08-26,3.064,2.286,Aug
1952-08-27,0.000,0.000,Aug
1952-08-28,0.000,0.000,Aug
1952-08-29,1.794,2.286,Aug
1952-08-30,0.094,0.508,Aug
1952-08-31,3.202,6.858,Aug
1952-09-01,2.442,4.318,Sep
1952-09-02,4.514,1.270,Sep
1952-09-03,3.737,4.826,Sep
1952-09-04,0.991,0.508,Sep
1952-09-05,0.303,0.508,Sep
1952-09-06,0.000,0.000,Sep
1952-09-07,0.000,0.000,Sep
1952-09-08,0.039,0.000,Sep
1952-09-09,2.551,8.382,Sep
1952-09-10,1.423,3.302,Sep
1952-09-11,0.000,0.254,Sep
1952-09-12,0.001,0.000,Sep
1952-09-13,0.006,0.254,Sep
1952-09-14,0.199,0.254,Sep
1952-09-15,0.039,0.000,Sep
1952-09-16,0.217,0.254,Sep
1952-09-17,0.005,0.254,Sep
1952-09-18,2.916,0.254,Sep
1952-09-19,0.017,0.000,Sep
1952-09-20,0.514,1.778,Sep
1952-09-21,2.606,3.048,Sep
1952-09-22,2.348,0.000,Sep
1952-09-23,0.000,0.000,Sep
1952-09-24,0.000,0.000,Sep
1952-09-25,0.006,0.000,Sep
1952-09-26,0.005,0.254,Sep
1952-09-27,0.012,0.254,Sep
1952-09-28,2.443,15.240,Sep
1952-09-29,3.734,0.508,Sep
1952-09-30,3.255,0.254,Sep
1952-10-01,2.404,0.254,Oct
1952-10-02,0.003,0.000,Oct
1952-10-03,0.665,0.000,Oct
1952-10-04,3.324,0.254,Oct
1952-10-05,0.033,0.254,Oct
1952-10-06,0.342,0.000,Oct
1952-10-07,0.009,0.000,Oct
1952-10-08,2.369,0.254,Oct
1952-10-09,0.730,0.000,Oct
1952-10-10,1.098,0.254,Oct
1952-10-11,0.049,0.254,Oct
1952-10-12,0.415,0.000,Oct
1952-10-13,0.008,0.254,Oct
1952-10-14,4.486,0.254,Oct
1952-10-15,0.820,0.000,Oct
1952-10-16,0.499,0.254,Oct
1952-10-17,0.306,0.000,Oct
1952-10-18,0.000,0.000,Oct
1952-10-19,1.329,0.508,Oct
1952-10-20,1.328,1.524,Oct
1952-10-21,0.406,1.016,Oct
1952-10-22,1.353,1.524,Oct
1952-10-23,0.115,0.254,Oct
1952-10-24,0.013,0.254,Oct
1952-10-25,0.008,0.000,Oct
1952-10-26,4.790,4.318,Oct
1952-10-27,0.014,0.254,Oct
1952-10-28,0.225,0.000,Oct
1952-10-29,0.131,0.254,Oct
1952-10-30,0.016,2.540,Oct
1952-10-31,0.003,0.254,Oct
1952-11-01,0.026,0.000,Nov
1952-11-02,0.129,0.254,Nov
1952-11-03,0.053,0.254,Nov
1952-11-04,0.307,0.000,Nov
1952-11-05,0.717,0.000,Nov
1952-11-06,0.036,0.254,Nov
1952-11-07,0.254,0.000,Nov
1952-11-08,0.268,0.000,Nov
1952-11-09,0.215,0.000,Nov
1952-11-10,0.174,0.254,Nov
1952-11-11,0.010,0.000,Nov
1952-11-12,0.000,0.000,Nov
1952-11-13,0.000,0.254,Nov
1952-11-14,0.004,1.016,Nov
1952-11-15,0.266,0.000,Nov
1952-11-16,1.461,0.762,Nov
1952-11-17,0.037,0.254,Nov
1952-11-18,1.935,0.254,Nov
1952-11-19,3.248,1.270,Nov
1952-11-20,0.066,0.000,Nov
1952-11-21,0.009,0.254,Nov
1952-11-22,0.014,0.254,Nov
1952-11-23,1.024,0.000,Nov
1952-11-24,3.285,0.508,Nov
1952-11-25,0.002,0.254,Nov
1952-11-26,0.014,0.000,Nov
1952-11-27,0.000,0.000,Nov
1952-11-28,0.015,0.000,Nov
1952-11-29,0.000,0.000,Nov
1952-11-30,0.031,0.254,Nov
1952-12-01,2.245,1.016,Dec
1952-12-02,0.022,0.254,Dec
1952-12-03,0.000,0.254,Dec
1952-12-04,0.000,0.254,Dec
1952-12-05,0.000,0.000,Dec
1952-12-06,0.000,0.000,Dec
1952-12-07,0.000,0.000,Dec
1952-12-08,0.000,0.000,Dec
1952-12-09,0.000,0.000,Dec
1952-12-10,0.000,0.254,Dec
1952-12-11,0.000,0.254,Dec
1952-12-12,0.955,0.254,Dec
1952-12-13,0.944,0.254,Dec
1952-12-14,0.005,0.000,Dec
1952-12-15,0.033,0.000,Dec
1952-12-16,2.319,0.254,Dec
1952-12-17,0.435,0.000,Dec
1952-12-18,0.049,0.000,Dec
1952-12-19,0.000,0.000,Dec
1952-12-20,0.001,0.000,Dec
1952-12-21,0.001,0.000,Dec
1952-12-22,0.014,0.254,Dec
1952-12-23,0.142,0.000,Dec
1952-12-24,0.269,0.000,Dec
1952-12-25,0.117,0.000,Dec
1952-12-26,0.002,0.000,Dec
1952-12-27,0.000,0.000,Dec
1952-12-28,1.084,0.000,Dec
1952-12-29,0.023,0.254,Dec
1952-12-30,0.032,0.254,Dec
1952-12-31,0.237,0.254,Dec
1953-01-01,0.000,0.000,Jan
1953-01-02,0.314,0.254,Jan
1953-01-03,0.000,0.000,Jan
1953-01-04,0.000,0.000,Jan
1953-01-05,0.000,0.000,Jan
1953-01-06,0.000,0.000,Jan
1953-01-07,0.000,0.000,Jan
1953-01-08,0.000,0.000,Jan
1953-01-09,0.000,0.000,Jan
1953-01-10,0.000,0.000,Jan
